Lobbyist,Client
Jody L. Levin,"Crown Cork & Seal Company, Inc."
Joe Evans,Wyo County Commissioners Association
Joe Fender,Federated Fire Fighters of Wyoming
John Archambault,Gasden Legal
John C. McKinley,Sublette County
John F. Parr,
John P. McBride,Blue Cross Blue Shield of Wyoming
Jon Narva,Federated Fire Fighters of Wyoming
Josh Phair,"Wal-Mart Stores, Inc."
Judy R. Horton,American Quarter Horse Association
Karen Loken,
Karen Valentine-Pond,Wyoming Association of REALTORS
Kari L. Cline,Wyoming Association of Public Charter
Kate Wright,Wyoming Conservation Voters
Kate Wright,Brain Injury Association of Wyoming
Katharine K. Wilkinson,K&R Enterprises
Kathryn A. Valido,Wyoming Education Association
Katie Legerski,Wyoming Contractors Association
Keith A. Kennedy,Wyoming Ag-Business Association
Kelley C. Pelissier,Wyoming P-196 Education Council
Kelley H. Pearson,"SourceGas Distribution, LLC"
Kelly W. Gardner,Fremont County School District #24
Ken Trowbridge,AARP Wyoming
Kenneth J. Decaria,Wyoming Education Association
Kenneth J. Vaughn,Cameco Resources
Kenny E. Barnhart,People First of Wyoming
Kerry P. Hall,Delta Dental of Wyoming
Kevin F. Lind,Powder River Basin Resource Council
Kim Clemetson,Fremont County School District #24
Kimberly A. Johnson,"UPS, United Parcel Service"
Kimberly J. Harper,National Association of Social Workers
Kimberly K. Rogers,Wyoming Comprehensive Cancer Control
Kimberly M. Amen,Father Factor
Kirk B. Trojousky,Father Factor
Kristy M. Delgado,BMWEB
Larry Blakeman,People First of Wyoming
Laura B. Huggings,Gasden Legal
Laurie Urbigkit,RAI Services Company
Lawrence C. Anderson,Wyoming Association Superintendents
Lawrence J. Wolfe,Bresnan Communications
Leslie W. Rosedahl,Pharmaceutical Research and Manufacturers
Lindi L. Kirkbride,Regional Services Providers of Wyoming
Liz T. Zerga,3M Corporation
Liz T. Zerga,Trout Unlimited
Loretta L. Humphrey,AARP Wyoming
Lori Wilkerson,People First of Wyoming
Lynn Birleffi,Wyoming Chamber of Commerce Executive
Lynn M. Welker,Wyoming Mining Association
MADD,Brotherhood of Locomotive Engineers &
Marc R. Porter,Gasden Legal
Marcia K. Shanor,Wyoming Trial Lawyers Association
Marguerite Herman,League of Women Voters
Marian J. Schulz,Altria Client Services Inc. and its Affiliates*
Mark Higdon,Wyoming School Boards Association
Mark L. Aronowitz,Lawyers and Advocates for Wyoming
Mark L. Nelson,WY Game Wardens Association
Mark O. Harris,Wyoming Coroner's Association
Mark R. Larson,CWPMA - Wy Petroleum Marketers Assoc.
Mark R. Stewart,Wyoming Bankers Association
Mark Stege,Black Hills Corporation
Mark Tallman,PacifiCorp
Mark W Harris,Wyoming Association of Municipalities
Marlene K. Aitchison,Laramie County Fire District #2
Matt D. Kruse,Wyoming Education Association
Matt Dogali,National Rifle Association of America
Matthew D. Kaufman,Hathaway & Kunz P.C.
Matthew J. Huntington,"Gadsden Legal, LLC"
Matthew Johnson,Takeda Pharmaceuticals America
Matthew M. Edwards,
Michael A. Ceballos,Qwest Communications
Michael Ashton,Exxon Mobil Corporation
Michael D. Smith,Questar Market Resources
Michael K. Burd,USW
Michelle R. Bartlett,
Mitchell H. Edwards,Mountain Cement Company
Mona Pearl,Western States Learning Corporation
Monte H. Morlock,USW
Monte K. Olson,Exxon Mobil Corporation
Morgan Andrew Hill,Wyoming Family Coalition
Nancy D. Freudenthal,"Sherd Lake, Inc. & Lake DeSmet Properties,"
Naomi L. Allen,Wyoming Retired Education Personnel
Nathan A. Beauheim,Cheyenne Public Employees Association
Nicholas M. Agopian,Devon Energy
Nick J. Bettas,Chevron Mining Inc.
Patrick Carlson,Wyoming Chapter National Electrical
Patrick R. Day,Exxon Mobile Corporation
Paul J. Ulrich,En Cana Oil & Gas
Paul Plofchan,Pfizer Inc.
Peabody Energy,Kern River Gas & Transmission Co.
Phil Van Horn,Western States Learning Corporation
Randall B. Luthi,Sublette County Commissioners
Randy L. Rhodes,Right to Life of Wyoming
Raymond B. Bizal,National Fire Protection Association
Renee Brower,Wyoming Society of CPA's
Rhonda P. Priest,Alzheimer's Association
Richard G. Pallister,Rocky Mountain Elk Foundation
Richard M. Garrett,Wyoming Outdoor Council
Rick F. Schum,Blue Cross Blue Shield of Wyoming
Rita Campbell,Fremont School District #24
Robert A. Wharff,Wyoming Sportsmen for Fish
Robert D. Kuchera,Wyoming Public Employees Association
Robert M. Grant,Rocky Mountain Power
Robert M. Tarantola,Black Hills Corporation
Roger C. Fransen,"SourceGas Distribution, LLC"
Ron B. McCue,Silver Star Communications
Ronald P. Sniffin,Wyoming Education Association
Roy C. Wilzbach,Father Factor
Russell T. Schnitzer,The Nature Conservancy
Russell Wenke,Wyoming Fire Chiefs
Ruthann Norris,C-WISH (Grassroots Organization for
S. Joel Hastings,"MedImmune, Inc."
Sami L. Falzone,Bresnan Communications
Sandy Hunter,Wyoming Taxpayers Association
Sara Flitner,Flitner Strategies
Sara Tays,Exxon Mobil Corporation
Sarah Gorin,Equality State Policy Center
Sarah Lorentz,People First of Wyoming
Scott W. Meier,Anshutz Corporation
Scott Zimmerman,Farmers Union Service
Senorina D. Moreno,Representative of Reliance
Shandra D. Emrich,
Shane C. Schulz,Questar
Shane M. Scheid,Wyoming Liberty Group
Shannon R. Anderson,Powder River Basin Resource Council
Sharon Breitweiser,NARAL Pro-Choice Wyoming
Shawn W. Taylor,Wyoming Rural Electric Association
Shawna R. Clemens,People First of Wyoming
Sheila L. Bush,Wyoming Medical Society
Sheila Strand,People First of Wyoming
Sheri L. England,Wyoming Youth Services Association
Spencer Guthrie,GLAXOSMITHKLINE
Steve D. Bahmer,Wyoming Association of Community College
Steven F. Freudenthal,"MEDCO HEALTH SOLUTIONS, INC."
Steven J. Chadderdon,Wyoming Medical Center
Steven R. Laird,"Alpha Coal West, Inc."
Sue Sharp,Child Development Services of WY
Susan W. Gore,Wyoming Liberty Group
Suzan C. Pauling,
T.J. Hunt,Wyoming Fire Chiefs
Tammy Cox,Fremont School District #24
Tammy L. Gamino,People First of Wyoming
Teffany J. Fegler,Fremont School District #24
The Children's Hospital of Denver,American Heart Association
Thomas B. Jubin,Wyoming Trail Lawyers Association
Thomas L. Wolfe,Wyoming Epilepsy Association
Tim J. Crilly,Blue Cross Blue Shield of Wyoming
Timothy J. Gilmore,Science Applications International Corp.
Timothy J. Gilmore,Wyoming Dental Association
Timothy M. Sowecke,
Timothy R. Dore,Credit Union Association of CO & WY
Timothy S. Summers,AARP Wyoming
Todd J. Bandel,Father Factor
Todd Rodeheaver,Pfizer Inc.
Todd Rodeheaver,Anadarko Petroleum Corp.
Todd Rodeheaver,Petroleum Association of Wyoming
Tom Jones,Wyoming Association Public Accountants
Tom L. Broadaway,United Transportation Union (UTU)
Toni Rogers,WREP
Toni S. Decklever,Wyoming Association for Career &
Tracy Rene Mathews,
"Tuesday, March 09, 2010","Catchpole Enterprises, Inc."
"Tuesday, March 09, 2010",Associated Builders & Contractors of
Wallace I. Wallace,WY Watch Family Action
Walt F. Gasson,Wyoming Wildlife Federation
"Walter F. Eggers, III",Bresnan Communications
Wes E. Johnson,Wyoming Fire Chiefs
William E. Bensel,Powder River Basin Res. Council
William J. Pomeroy,AARP
William J. Thomson,AFLAC
William Stafford,Basin Electric
