Lobbyist,Client
George G. Byers,"Power Resources, Inc."
Ashley M. Camp,Wyoming Territorial Park
Robert L. Campbell,Teton Schools
Eva M. Canaday,WYAMI-Wy. Alliance for
Jack A. Carroccia,National Assn. of Insurance Agents
Sue Castaneda,Wyoming Animal Network
Bradley Cave,Holland & Hart LLP
Michael A. Ceballos,Qwest
Christopher L. Chambers,Chevron Texaxo
Mary Lou Chapman,Rocky Mountain Food Industry Assn.
Ashley E. Chappell,American Heart Assoc.
Steve Chasson,MADD Wyoming
Larry Christensen,Wyoming Land Title Assn.
Margaret M. Christiansen,Dominion Ventures
Barbara A. Christensen-Boner,Novartis Pharmaceuticals
Chris Christenson,Wyoming Education Assn.
Kaia E. Christofferson,
Kerin M. Clark,Wyoming Farm Bureau Federation
Gary Collins,Shoshone & Arapaho Tribes
E-mail Address,McLeod USA Incorporated
Donald E. Coovert,RAG American Coal Company
Joseph H. Corrigan,
Virginia T. Corwin,Philip Morris USA Inc.
Becky M. Costantino,Wyoming Republican Party
E-mail Address,McLeod USA Incorporated
Mary B. Cox,NAMI (National Alliance for the
Steven Cranfill,"Cheyenne Light, Fuel & Power"
Lobbyist Name Steven Cranfill - cont.,R.J. Reynolds Tobacco Company
Tim J. Crilly,Blue Cross Blue Shield of Wyoming
Dennis E. Curran,Cheyenne Board of Public Utilities
Wendy P. Curran,Wyoming Medical Society
Charles Custis,AARP
Roberta M. Darnall,U of Wyo Alumni Assn.
Angela L. Denny,Wyoming Outfitters & Guides Assn.
Scott A. Denny,WYOGA
Gene R. Diedtrich,Wyoming Fire Chief's Assn.
John D. Dolan,Kindger Morgan Inc.
Eric R. Donaldson,UST Public Affairs
Yvonne F. Douglas,Utility Workers (UWUA 127)
Patricia Dowd,Equality State Policy Center
W. Perry Dray,Motion Picture Association of America
Janice Drury,American Heart Assn.
Gregory C. Dyekman,Kennedy Western University
Ronda M. Eagleson,
Judy Eastman,Wyoming Rural Electric Association
Donn L. Edmunds,Patriot's Memorial Park
"Walter F. Eggers, III",Holland & Hart LLP
"Junius Elmore, Jr.",Wy. Professional Towing Assoc.
Kathy C. Emmons,Wyoming Childrens Action Alliance
Marvin E. Emrich,Self
Todd F. Ennenga,Devon Energy Corp.
Clint Ensign,Sinclair Oil Corp.
Brad M. Enzi,Black Hills Corporation
Cori K. Erickson,Wyoming Childrens
Gary M. Espenscheid,
Aiyanna G. Evans,Wyoming Association of
Joseph M. Evans,Wyoming County
D. C. Faber,Laramie Local 946
Sami L. Falzone,"Arch Coal, Inc."
Lobbyist Name Sami L. Falzone - Cont.,Powder River Coal Company
Vincent J. Fate,Federated Firefighters of Wyoming
John M. Faunce,Wyoming State AFL-CIO
Sheila D. Foertsch,"Wyoming Trucking Association, Inc."
Howard J. Foster,
Bobbie K. Frank,WY. Assn. Conservation Districts
Roger C. Fransen,"Kinder Morgan, Inc."
Nancy D. Freudenthal,"TSP Two, Inc."
Renee D. Gamino-Diaz,Wyoming Primary Care Association
Jim Gardner,Wyoming Medical Center
Bill W. Garland,Self
Dee G. Garrison,Wyoming Assn. of Correctional
Mel Gillispie,AARP
Paul Gilroy,Jackson Hole Outfitters Assoc.
Jana H.Ginter,Self
James T. Glancey,Wyoming Ethanol LLC
Connie J. Glassman,Wyoming Public Employees Assn.
John P. Glode,Holland & Hart LLP
Paula E. Glover,Right to Life
Cathy Gonzales,AARP
Jennifer J. Goodman,Wyoming Territorial Park
Laurie D. Goodman,Trout Unlimited
Vickie L. Goodwin,Powder River Basin
Sarah Gorin,Equality State Policy Center
Jeff C. Gosman,
Dean R. Greenwalt,
Paul D. Griffin,Self
Beverly J. Gross,Staff - American Cancer Society
Charles C. Grove,Sublette Co. School District #1
Sarah C. Mikesell Growney,Wyoming Tobacco Use Prevention
Mary B. Guthrie,Wyoming State Bar
E-mail Address,McLeodUSA Incorporated
James P. Hageman,"Community Alternatives of Casper, Inc."
Kerry P. Hall,Delta Dental Plan of Wyoming
Mathew Hamblin,United Steelworkers Local 13214
Ken N. Hamilton,Wyoming Farm Bureau Federation
Terry Harding,
Lonnie C. Harper,Noah Webster Christian School
James A. Hansen,Laborers Local 1271
Mark J. Hanson,Mountain States Lamb Cooperative
Dave Haring,Wyoming Airport Operators Assn.
Richard M. Hartman,Union Pacific Railroad Company
John M. Hastert,United Steelworkers Local 13214
Lance W. Hastings,Miller Brewing Company
Brenda F. Hatanelas,Wyoming PTA
Richard T. Hauber,Wyoming Fire Chiefs
Carol E. Havlik,Wyoming Game Wardens Assn.
Delores Jean Hayek,Wyoming Education Assn.
Mike Hays,Wyoming Assn. Sheriffes
Dan Heilig,Wyoming Outdoor Council
Bruce W. Heimbuck,Platte County School Dist. #2
Bruce L. Hendrickson,First Interstate Bank
Marguerite A. Herman,League of Woman Voters of Wyoming
Paul J. Hickey,"Kinder Morgan, Inc."
Mark Higdon,Campbell County Schools
BJ Hill,Swift Creek Outfitters
Bruce A. Hinchey,Petroleum Association of Wyoming
Karen R. Hinchey,Wyoming Competitive Choices
Deborah K. Hinckley,Qwest
Raymond D. Hohl,Concerned Citizens
Monte L. Horst,Cody Country Outfitters & Guides
Susan M. Hover,First Interstate Bank
Cheryll M. Howard,Self
Jaren J. Howard,Devon Energy Corporation
Mark A. Howell,Northern Arapahoe Indian Tribe
Don W. Huber,Wyoming Fire Chief's
Amanda L. Hunkins,Wyoming Trial Lawyers Assoc.
Michael F. Hunsaker,Silver Star Communications
Lora L. Huston,Wyoming Automoblie Dealers Assn.
Rita Inoway,AARP
Susan M. Ishii,Kennedy-Western University
Betty Iverson,Wyeth
Donald C. Jackson,"Tri Country Telephone Assn., Inc."
Alice M. Jagiello,Big Horn CSD #2
Joe Jelaca,General Chemical
H.L. Jensen,Wyoming Cable T.V. Assn.
Daniel D. Johnson,Chevron Texaco
Dave R. Johnson,"Wyoming Bankers Assn., Inc."
Tammie L. Johnson,Bank of Jackson Hole
Kathleen Jones,Basin Electric Power Corporation
Maury Jones,Jackson Hole Outfitters
Terry B. Jones,Wyoming Crop Improvement Assn.
Terry R. Jones,BrotherHood of
Tom A. Jones,National Federation of Independent
Lobbyist Name Tom A. Jones - Cont.,Wyoming Assn. of Public Accountants
Thomas B. Jubin,Wyoming Trial Lawyers Assoc.
Curt Kaiser,
Sherlyn A. Kaiser,Wyoming Medical Center
Richard L. Kaysen,"Xcel Energy/Cheyenne Light, Fuel &"
William F. Kearney,Power Resources Inc.
Mary Keating-Scott,George K. Baum & CO.
Lawrence F. Kemper,BrotherHood of Locomotive
Keith A. Kennedy,Wyoming AG Business Assn.
Timothy D. Kenny,United Transportation Union
Stephanie A. Kessler,Equality State Policy Center
Robert C. Kidd II,Wyoming Hospital Association
Stephen H. Kline,Wyoming Trial Lawyers Assoc.
Cindy Knight,
Richard P. Knoespel,Abbott Laboratories
Matt Kruse,
Robert D. Kuchera,Wyoming Public Employees Assn.
E-mail Address,Pharmaceutical Research &
Vernon L. Kury,Teton County School District #1
Brent Kunz,Exxon Mobil Corporation
Steven R. Laird,"RAG Coal West, Inc."
Bejamin D. Lamb,Wyoming Conservation Voters
Ingrid L. Larson,
Andrew J. Larson,Concerned Citizen
Gloria J. Leadbetter,
Kim Lee,Wyo. Fire Chiefs Assn.
Robert L. Leibrich,First Interstate Bank
Robert H. Leonard,"Prehoda, Leonard & James, LLC"
Jay A. Lesser,WYOGA
Brian Leugs,PhRMA
Dan J. Lex,Wyoming Optometric Assn.
Rich V. Lindsey,Wyoming Children's Action Alliance
Kathy K. Loetscher,Concerned Citizen
Norman P. Long,"Kinder Morgan, Inc."
Marion E. Loomis,Wyoming Mining Association
Ron C. Lord,IAPMO
Wendy H. Lowe,Powder River Coal Co.
Jeff R. Lundberg,Wyoming Ethanol
Jay E. Lyon,FMC Wyomng Corporation
Luke M. Lynch,Green River Vally Land Trust
Mark J. Maas,
Tyrel M. Mack,Tribal Water Engineer's Office
Kelly F. Mader,Kennecott Energy Company
James H. Magagna,Wyoming Stock Growers Assn.
Dan E. Mann,WAOA
Errol F. Mannon,
Jason C. Marsden,Wyoming Conservation Voters
Lee E. Martinez,
John P. Marton,Tri-State Generation & Transmission
Jerry Maurer,Wyoming School Board Assn.
Janet M. Maxwell,WY Wildlife Federation
Cindy L. McBride,Wyoming Animal Network
John P. McBride,Blue Cross Blue Shield of Wyoming
Paula McCormick,Wyoming Economic Development
Ron B. McCue,Silver Star Communication
Rodger McDaniel,State Farm Insurance Companies
Gary McDowell,Wyoming Education Assn.
Gary L. McGee,Devon Energy Corporation
Dyan E. McGrath,AstraZeneca Pharmaceuticals
Douglas R. McLaughlin,WEPAC
Bill D. McIlvain,Small School Coalation
John C. McKinley,Sublette County Board
Stan W. McNamee,Laramie County Weed & Pest
Paula K. McNeel,"McNeel Ranches, LTD"
Michael T. McNulty,Qwest
John R. McPherson,Duke Energy Field Services
Cheryl McVay,
Steve Merchen,
Les R. Meyer,"Kinder Morgan, Inc."
Peter K. Michael,"WorldCom, Inc."
Joan Frances Michaud,
Richard H. Miller,University of Wyoming
Jason S. Mincer,American Heart Association
Cricket Mitchell,
Bruce T. Moats,Wyo. Press Assoc.
Beverly J. Morrow,Wyoming Primary Care
Philip G. Morrow,Coastal Chem. Inc.
Joe Morelli,COST
Mike Mores,Farmers Insurance
Mike Moser,Wyoming State Liquor Assn.
Charlene M. Murdock,Kennecott Energy
Myrle A. Myers,Johnson & Johnson
James D. Narva,Federated Firefighters of WY
Mark L. Nelson,Wyoming Game Warden Assn.
Brian R. Nesvik,Wyoming Game Wardens Assn.
Ginger Newman,
Joe D. Nies,"WY Senior Citizens, Inc."
Cathy J. Norris,BNSF Railway
Byron F. Oedekoven,Wyoming Assn. of Sheriffs & Chief
Sandee Oehring,Teton County School District #1
Diane M. O��Keefe,Wyoming Dental Association
Rodney A. Olson,Federated Firefighters of WY
Nathan S. Oman,Wyoming Assn. of Correctional
Kathleen H. Orton,Child Development Services of
Viola Ose,Wyoming Federation of Republican
Christopher J.W. Oswald,National Rifle Association - ILA
Jack D. Palma II,Dakota Minnesota & Eastern Railroad
Richard G. Pallister,WY Gamewarden's Assn.
Steven D. Palmer,Bayer Corporation
Glenn H. Pauley,Wyoming Stock Growers Land Trust
Suzan C. Pauling,Wyoming Coalition Against Domestic
Kerry L. Paulson,UST Public Affairs Inc.
George Parks,Wyoming Assn. of Municipalities
David C. Picard,Philip Morris USA Inc.
Carole Perkins,Wyoming Chamber of Comerce
John M. Petley,Brown & Williamson Tobacco
W. Perry Pearce,Burlington Resources
Mona L. Pearl,Wyoming Student Loan Corporation
Daniel J. Perdue,Wyoming Hospitals Association
Tim L. Pexton,Wyo. Rural Development Council
Terry A. Pollard,Wyoming Outfitters & Guides Assn.
William J. Pomeroy,"Xcel Energy/Cheyenne Light, Fuel and"
Stephen H. Ponder,"FPL Energy, LLC"
Tassma A. Powers,"Hawkins& Powers Aviation, Inc."
Linda C. Pryor,Pfizer
Michael K. Purcell,ACEC of Wyoming
Cathy M. Purves,Wyoming Wildlife Federation
Bryce R. Reece,Wyo. Wool Growers Assn.
Randall B. Reed,National Association of Independent
Stephanie Reeves,
E-mail Address,Sublette County School District #9
Andrea L. Richard,Wyoming Assn. of Realtors
Richard Rideout,Self-Employed
"John B. Rigg, Jr.","BP America, Inc."
E-mail Address,McLeodUSA Incorporated
Theron T. Ritzman,
James Kevin Robinett,Wyoming Psychiatric Society
John T. Robitaille,Petroleum Assocation of Wyoming
Richard T. Robitaille,Anadarko Petroleum Corp.
Gene A. Roland,Kinder Morgan
Robert E. Rolston,Anadarko Petroleum Corporation
Curtis D. Rostad,Wyoming Funeral Directors Assn.
Margo Sabec,Devon Energy Corporation
Lauren S. Saltman,Kennedy-Western University
Brad Sarff,Wyoming Fire Chiefs
Greg Schaefer,"Arch Coal, Inc."
Jay Dee Schaefer,Mountain West Farm Bureau Mutual
Kayleigh L. Schaefer,
Jim D. Schell,WYOGA
Bill Schilling,Wyoming Business Alliance
Tom Schmit,Concerned Amercian
Jay M. Schmidt,
Karen S. Schmidt,Concerned Citizen
Kelly Schmidt,Concerned Citizen
Sheryl L. Schmidt,
Ray L. Schulte,Hot Springs Co. School
Ray L. Schulte,Hot Springs Co. School
Marian J. Schulz,Wyoming Assn. Mental Health &
Rick F. Schum,Blue Cross Blue Shield of Wyoming
Jim E. Schwinn,3M
Gary C. Scott,Campbell Co. Fire
Susan Shaffer,Wyoming Nurses Association
Marcia K. Shanor,Wyoming Trial Lawyers Assn.
Steve M. Sheaffer,Wyoming Outfitters & Guides Assoc.
Harold V. Shockley,Park County School District #1
Charlie Simineo,Alzheimer's Association
Geoff Simon,MDU Resources Group
Charles G. Simino,SPRINT
Marlene Simons,
George J. Smith,
Michael D. Smith,Holland & Hart LLP
Robert E. Smith,Wyoming Pharmacists Assn.
Dennis P. Smyth,Wyoming Public Employees Assn.
Tim Solon,Wyoming Church Coalition
Ruth C. Sommers,RSP of Wyoming
Aaron M. Sopko,
Mary M. Spearman,"Motorola, Inc."
William J. Stafford,Basin Electric Power Corp.
Daniel R. Staight,Wyoming Chiropractic Assn.
Dustin A. Stetter,DOA Dubois Outfitters
Gloradene Stevenson,"Love & Charity Club, Inc."
Mark Stewart,Wyoming Bankers Assn. Inc.
Marsha M. Stiles,Wyoming Automobile Dealers Assn.
Duane Stolns,Wyommig Fire Cheifs
Mke R. Stuffleban,United Transportation Union
Dan B. Sullivan,Philip Morris Inc. through its service
"Lobbyist Name - Dan Sullivan, Cont.",Marathon Oil Company
Timothy S. Summers,AARP
John A. Sundahl,"Cheyenne, Light, Fuel & Power Co."
Kenneth B. Sutton,Wyo. Fire Chiefs
Rodney C. Svee,Sheridan County School District 1
Conilee Swantek,Platte County School Dist. #2
Kevin R. Sweeney,Crook County School District #1
Robert J. Symons,
Robert M. Tarantola,PacifiCorp
Donald Brent Taylor,Wyoming Trucking Assn.
Erin N. Taylor,Pacificorp
Meredith A. Taylor,Wyoming Outdoor Council
Robert L. Taylor,Wyoming Fire Chiefs Assn.
Janine M. Teske,Teton County School District
Nedalyn D. Testolin,
Douglas E. Thierwechter,Marathon Oil Company
William J. Thomson,General Motors Corporation
Lobbyist Name William J. Thomson - cont.,Corrections Corporation of America
Timothy E. Thorson,Riverton Chamber of Commerce
Tom Throop,Equality State Policy Center
Mary A. Throne,"Kinder Morgan, Inc."
Steven R. Thulin,Wyoming Education Assn.
Ronald D. Tolman,Lincoln County School District #2
Dwayne Trembly,Wyo Retired Teachers
Phil W. Tromble,
Susan D. Tromble,
Vernis R. Tromble,
Roy A. Turner,Wyoming Petroleum Marketers Assn.
David D. Uchner,American Insurance Assn.
Lobbyist Name David D. Uchner - cont.,Wyoming Beer Distribution
Terry L. Ungricht,United Transportation Union
Laurie J. Urbigkit,Wyoming Manufactured Housing Assn.
William A. Urbigkit,City of Riverton
Kathryn A. Valido,CTEA
Phillip F. Van Horn,Wyoming Student Loan Corporation
Bret L. Vance,IAFF Local 946
Pennie A. Vance,Powder River Basin Resource Council
Randy J. Vickers,City of Laramie
Jay E. Vincent,Midvale Irrigation District
Gerald E. Voorhees,Rancher & Petroleum Consultant
Amanda S. Voss,Self
Amanda S. Voss,
Mitzi S. Voss,
Susie P. Wacker,Wyoming Medical Society
Dylan Waddle,Devon Energy Corporation
Michael W. Walden-Newman,Wyoming Taxpayers Assn.
Danny N. Walker,Wyoming Public Employees Assn.
William D. Wall,ICBO
Dick Wallis,Wyoming Horseracing Inc.
Marlin A. Walter,WREP
Charles E. Ware,Wyoming Contractors Assn.
Elizabeth A. Wasson,WINHealth Partners
Michael J. Watkins,WYCAN
Robert P. Watkins,NAMI - Cheyenne
Carol Watson,NARAL
Timothy P. Wells,WY Carpenters Union
Russell G. Wenke,Wyoming Fire Chiefs
Dennis K. West,Wyoming Psychological Assn.
Edward S. Weppner,Wyoming Stock Growers Assn.
Lynne M. Whalen,Natrona County Medical Society
Donna L. Wichers,Cogema Mining/ Pathfinder Mines
Sharon K. Wilkinson,Wyoming State Bar
Ronald D. Williams,
Craig P. Williamson,Cigar Association of America
Dorothy A. Wilson,Wyoming Planner's Assn.
Jim Wingert,WY Fire Chief
Christine Winter,Wyoming Psychological Society
Loretta C. Wolf,American Cancer Society
Lawrence J. Wolfe,Powder River Coal Company
Lawrence J. Wolfe,Dakota Minnesota & Eastern Railroad
Zia A. Yasrobi,Teton County School District #1
Robyn C. Yetka,
Mark P. Young,Wyoming Fire Cheifs
Elizabeth Zerga,Western Wireless Corporation
Scott Zimmerman,Rocky Mountain Farmers Union
Tim L. Zimmerman,Laborers Local 1271
Veronica M. Zuniga,Wyoming Latina/Latino
