Lobbyist,Client
Joe Morelli,COST
John B. Harrison,"BRH2 Ventures, Inc."
"John B. Rigg, Jr.",BP America
John C. Bishop,Wyo Pioneer Assn.
John C. Schumacher,Shoshone Tirbe
John D. Bailey,Natrona County Medical Society
John D. Law,Wyoming College Democrats
John M. Faunce,Wyoming State AFL-CIO
John P. Marton,Tri-State G&T
John P. McBride,Blue Cross Blue Shield of Wyoming
John R. McPherson,Duke Energy Field Services
John R. Vincent,City of Riverton
John Robitaille,Petroleum Assn. of Wyoming
John W. Walsh,Wyoming Contractors Assn.
Johnny M. Tooke,Natrona County Medical Society
Joseph C. Icenogle,Fidelity Exploration & Production
Joseph M. Evans,Wyoming County Commissioners
Joshua I. Shaffer,
Judy A. Basye,St. Johns Hospital Medical Center
Judy Eastman,Wyoming Rural Electric Assn.
Judy S. Catchpole,"Access Business Group, Inc."
Junius Jr. Elmore,Wyoming Professional Teaching Assn. 6704 Brachill Road
Kathleen H. Orton,Child Development Services of WY
Kathleen L. Jones,Basin Electric Power Cooperative
Kathy L. DeLisa,Citizen
Kay Watson,Fremont County School District #24
Keith A. Kennedy,Wyoming Agricultural Business Assn.
Keith Henning,Wyoming Retired Firefighters Assn.
Keith R. Nachbar,
Ken N. Hamilton,Wyoming Farm Bureau Federation
Kenneth B. Davis,ABATE of Cheyenne
Kenneth B. Sutton,Wyo. Fire Chiefs
Kent W. Spence,
Kerin Clark,Wyoming Farm Bureau Federation
Kerry P. Hall,Delta Dental Plan of Wyoming
Kevin D. Bohnenblust,American Heart Assn.
Kevin F. Lind,Powder River Basin Resource Council 23 North Scott
Kevin H. Baars,
Kevin James Robinett,Wyoming Psychiatric Society
Kim A. Floyd,Wyoming State AFL-CIO
Kimberly A. Sherrod,St. John�۪s Medical Center
Lanny Applegate,
Larry G. Baesler,Wyoming Wildlife Federation
Larry Manchester,Fremont County School District #24
Larry T. Atwell,Greater Cheyenne Chamber of Comm. 121 W.15th Street
Laurence W. Stinson,
Laurie D. Goodman,Ranchers
Laurie Urbigkit,Wyoming Housing Alliance
Lawrence Anderson,Wyoming School Boards Assn.
Lawrence J. Wolfe,"Dakota Minnesota & Eastern Railroad 337 22nd Avenue, South"
Lee E. Martinez,City of Riverton
Les R. Meyer,"Kinder Morgan, Inc."
Linda A. Yost,Natrona County Medical Society
Linda Barefoot,Purdue Pharma
Linda D. Burt,American Civil Liberties Union
Linda Pryor,Pfizer Inc.
Lisa M. Manasco,"WyoTrans., Inc."
Liz Zerga,Western Wireless
Lora L. Huston,Wyoming Automobile Dealers Assn.
Loretta C. Wolf,American Cancer Society
Lori L. Brand,Plaintiff Cox
Lynn Birleffi,Wyoming Lodging and Resturant Assn. P.O. Box 1003
Lynne Marie Whalen,Natrona County Medical Society
Marcia K. Shanor,Wyoming Trial Lawyers Assn.
Marcia L. Dale,Wyoming Nurses Assn.
Margaret Spearman,Motorola Inc.
Marguerite A. Herman,League of Women Voters of Wyoming
Marguerite M. Cady,Citizen
Marian J. Schulz,Wyoming Assn. Mental Health and
Marion E. Loomis,Wyoming Mining Association
Mark A. Howell,Northern Arapaho Tribe
Mark Higdon,Campbell County School District
Mark P. Young,Wyoming Fire Chiefs
Mark W. Shumar,"International Brotherhood of Teamsters 25 Louisana Avenue, NW"
Marlene Simons,
Marlin A. Walter,WREA
Marsha M. Stiles,Wyoming Automobile Dealrs Assn.
Marty Manasco,"WyoTrans., Inc."
Marvin E. Emrich,
Marvin N. Applequist II,Wyoming Farm Bureau Federation
Mary B. Guthrie,Wyoming State Bar
Mary B. Weber,Natrona County Medical Society
Mary E. MacGuire,Natrona County Medical Society
Mary J. Keating-Scott,George K. Baum & Company
Matt J. Micheli,"Dakota Minnesota & Eastern Railroad 337 22nd Avenue, South"
Matt Kruse,Wyoming Education Assn.
Matthew Hambline,USWA Local 13214
Maureen A. Emrich,
Maury Jones,
Mel L. ZumBrunnen,Niobrara Hospital District
Melvin H. Gillispie,AARP
Meredith A. Taylor,Wyoming Outdoor Council
Michael A. Ceballos,Qwest Communications of Wyoming
Michael D. Smith,Dakota Minnesota & Eastern Railroad 337 22nd Avenue
Michael J. Granum,Natrona County Medical Society
Michael K. Burd,Steelworkers 13214
Michael K. Purcell,ACEC of Wyoming
Michael T. McNulty,Qwest Communications of Wyoming
Michael W. Walden-Newman,Wyoming Taxpayers Assn.
Michele Barlow,Wyoming Outdoor Council
Mike Blenkush,Powder River Energy Corporation
Mike Hays,Wyoming Sheriffs & Chiefs
Mike Mores,Farmers Insurance
Mike Moser,Wyoming State Liquor Association
Mike R. Stufflebean,United Transportation Union
Mike Zwickl,WTLA
Mona L. Pearl,WSLC
Monique Prince,Regional Economic Development
Monte H. Morlock,U.S.W.A. Local 13214
Naomi L. Allen,AARP
Nedalyn Testolin,Self
Nicole M. Hohl,
Norman P. Long,"Kinder Morgan, Inc."
Norman P. MacIntosh,Wyoming Assn. of Correctional
Ogden Driskill,
Pam Fulks,Natrona County Medical Society
Patricia A. Dowd,"Wyoming Chapter, Sierra Club"
Patricia ���Cricket�۝ J. Mitchell,
Patricia T. McDaniel,State Farm Insurance
Patrick Carlson,Wyoming Chapter NECA
Patrick E. Hacker,Wyoming Education Assn.
Paul C. Pereira,TAP Pharmaceuticals Inc.
Paul G. Gilroy,
Paula E. Glover,Right to Life of Wyoming
Paula K. McCormick,Wyoming Economic Development
Peggy J. Sanders,
Pennie Vance,Powder River Basin Resource
Peter K. Michael,MCI
Philip G. Morrow,Coastal Chem Inc.
Phillip F. Van Horn,WSLC
Phillip T. Krmpotich,Natrona County Medical Society
Priscilla A. Erdman,Wyoming Trial Lawyers Assn.
R. Ron Long,American Council of Life Insurance
Randy J. Vickers,Wyoming Fire Chiefs/City of Laramie c/o Ross Wenke
Ray A. Crosby,
Raymond L. Daniels,
Rebecca L. Cuthill,
Renee Gamino-Diaz,Wyoming Primary Care Assn.
Renee M. Brower,Wyoming Society of CPA�۪s
Richard C. Wolf,Wyoming Trial Lawyers
Richard H. Miller,University of Wyoming
Richard L. Kaysen,Xcel Energy
Richard L. Nelson,Wyoming Youth Services Assn.
Richard M. Hartman,Union Pacific Railroad Company
Richard Rideout,Wyoming Medical Society
Rick F. Schum,
Rick Luchsinger,Small District Coalition
Rick Robitaille,Anadarko Petroleum Corp.
Rita Campbell,Fremont County School District #24
Robert A. Clausen,
Robert A. Narotzky,Natrona County Medical Society
Robert A. Novick,Natrona County Medical Society
Robert A. Wharff,Sportsmen for Fish and Wildlife WY
Robert B. Bricca,St. John�۪s Hospital Medical Staff
Robert C. Kidd,Wyoming Hospital Assn.
Robert D. Kuchera,Wyoming Public Employees Assn.
Robert E. McComas,Wyoming Ambulance and Emergency
Robert E. Rolston,Anadarko Petroleum Corporation
Robert J. Symons,City of Sheridan
Robert M. Tarantola,PacifiCorp
Robert O. Brown,Natrona County Medical Society
Roberta M. Darnall,University of Wyoming Alumni Assn.
Rodney A. Olson,Federated FF�۪s of Wyoming
Rodney Elmore,Association of Wyoming Insurance
Roger A. Bredehoft,Wyoming game Wardens Assn.
Roger E. Peterson,Federated Fire Fighters of Wyoming
"Roi G. Williamson, Jr.",AAA Wyoming
Ronald A. Ommen,St. John�۪s Medical Center
Ronald B. Miyamoto,Qwest Communications of Wyoming
Ronald D. Williams,
Ronald Stinson,Natrona County Medical Society
Roy A. Turner,Wyoming Petroleum Marketers Assn. 4465 Kipling #104
Roy L. Miller,"Brotherhood of Maintenance of Way 10 G Street, NE, Suite 460"
Rudy P. Munoz,
Russell Wenke,Wyoming Fire Chiefs
Ruth C. Sommers,RSP of Wyoming
Sami L. Falzone,"Dakota Minnesota & Eastern Railroad 337 22nd Avenue, South"
Sandra M. Cummins,
Sandra M. Oehring,TCSD #1
Sara M. Flither,St. John�۪s Medical Staff
Sarah A. Gorin,Equality State Policy Center
Scott A. Denny,Wyoming Guides and Outfitters
Scott D. Hinderman,WAOA
Scott Zimmerman,Rocky Mtn. Farmers Union
Sharon A. Montagnino,Wyoming Primary Care Assn.
Sharon Breitweiser,Wyoming NARAL
Sharon K. Wilkinson,Wyoming State Bar
Shaun G. Andrikopolos,
Shawn Alane Bassham,March of Dimes
Sherlyn A. Kaiser,Wyo. Medical Center
Sheryl L. Schmidt,Homeschoolers of Wyoming
Stacy E. Casper,Citizen
Stephanie Kessler,Equality State Policy Center
Stephen L. Simonton,
Steve J. Chasson,MADD
Steve R. Bonin,Natrona County Medical Society
Steven Cranfill,Western Gas Resources
Steven F. Freudenthal,City of Torrington
Steven Palmer,Bayer HealthCare
Steven R. Laird,"RAG Coal West, Inc."
Steven R. Thulin,Wyoming Education Assn.
Stuart J. Ruben,Natrona County Medical Society
Susan Shaffer,"Access Business Group, Inc."
Susie P. Wacker,Wyoming Medical Society
Suzan C. Pauling,Wyoming Coalition Against DV/SD
Suzy C. Noecker,Wyoming Farm Bureau Federation
Teresa H. Cole,WY Assn. of Conservation Districts
Terry B. Jones,Crop Improvement Assn.
Terry L. Ungricht,United Transportation Union
Terry Pesek,
Terry R. Jones,BLE
Thea M. Adamo,Young Patriots
Thomas A. Kipitnik,Natrona County Medical Society
Thomas B. Jubin,Wyoming Trial Laywers Assn.
Thomas E. Adams,Wyoming Highway Patrol Assn.
Tim I. Moss,Assn. of Wyoming Insurance Agents
Tim J. Crilly,Blue Cross Blue Sheild
Tim L. Zimmerman,Construction and General Laborers
Tim Monroe,Wyo. Assn. of Municipalities
Tim Wells,PNW RCC
Timothy C. Kingston,Hamilton University
Timothy D. Kenny,United Transportation Union
Timothy S. Summers,AARP
Todd F. Ennenga,Devon Energy Corporation
Todd H. Beckstead,Natrona County Medical Society
Tom F. Reese,Nautilus Resources/Phoenix
Tom I. Jones,Farm Bureau
Tom Jones,National Federation of Independent
Tom Throop,Equality State Policy Center
Tony Gagliardi,National Assn. of Royalty Owners
Tramaine L. Chargois,Marathon Oil Company
Trudy McCraken,WY Tourism Industry Coalition
Turnis D. Zondag,Natrona County Medical Society
Tyson S. Clark,Street Rules Online Traffic School
Valerie C. Seidel,"Jeffrey C. Wardle Academy, Inc."
Vernon L. Kury,Teton County School Dist. #1
Vicki L. Henderson,Natrona County Medical Society
Vince Fate,Federated Firefighters of Wyoming
Viola M. Ose,WY Federation of Women Republic
W. Perry Dray,"Motion Picture Association of America 1600 Eye Street, NW"
W. Perry Pearce,Burlington Resources
Wendy Lowe,Williams Companies
Wendy P. Curran,Wyoming Medical Society
Werner A. Studer,Natrona County Medical Society
William A. Urbigkit,City of Riverton
William B. Harris,
William C. Schilling,Wyoming Business Alliance
William Courter,McLeodUSA Incorporated and its
William Haas,McLeodUSA Incorporated and its
William J. Platt,United Transportation Union
William J. Stafford,Basin Electric Power Cooperative
William J. Thomson,Pharmaceutical Research & Mfgs. of
Zane Fross,Fremont County School Dist. #24
Zia A. Yasrobi,Teton County School District #1
