Lobbyist,Client
Kathleen A. Hunt,Wyoming Association of Municipalities
Kathleen A. Hunt,AARP Volunteer
Kathleen H. Orton,Child Development Services of Wyoming
Kay Watson,Fremont County School District # 24
Keith A. Kennedy,Wyoming Ag Business Association
Keith A. Teel,"Philip Morris USA Inc., by its service compnay"
Ken Hamilton,Wyoming Farm Bureau
Ken J. Trowbridge,AARP
Kevin D. Bohnenblust,Mountain West Farm Bureau Mutual
Kim A. Floyd,Wyoming State AFL-CIO
Kristi A. Wallin,"K12, Inc."
Landowners Association of Wyoming,Landowners
Larry Caller,"Bitter Creek Brewing, LLC"
Larry T. Atwell,Greater Cheyenne Chamber of Commerce
Laura A. Stryker,SWAT Team
Lauri A. Wemepn,Wyoming Association of Pre-Hospital
Laurie K. Milford,Wyoming Outdoor Council
Laurie Urbigkit,"Conwood, LP"
LaVern R. Johnson,Self
Lawrence C. Anderson,Wyoming Assn. of School Administrator
Lawrence J. Wolfe,Bresnan Communication
Lee A. Otto,Wyoming State Board of Agriculture
Leigh Ann G. Manlove,Wyoming State Bar Foundation
Les Vasey,Laborer's Local #1271
Leslie A. Kinner,SWAT Team
Linda S. Zimmerman,March of Dimes
Lisa D. McGee,Wyoming Outdoor Council
Lisa D. McGee,Wyoming Behavioral Institute
Lisa M. Maney,Holiday Inn
llamphere@propertyex.com,
llamphere@propertyex.com,Wyoming Contractors Assn.
Lois A. Huff,City of Cheyenne
Lonna L. Lamphere,Self
Loretta C. Wolf,Great West Division American Cancer Society
Loretta C. Wolf,Wyoming Pharmacy Association
Lori J. Becker,Casper Area Chamber of Commerce
Luann Borgialli,Self
Lyle Williamson,Verizon
Lynn Birleffi,AMIP
Manny Monserrate,Self
Marcia K. Shanor,Wyoming Trial Lawyers Assn.
Margaret R. Brown,Coalition for Wyoming Children
Margaret Spearman,"BNSF Railway, Inc."
Margo Harlan Sabec,Devon Energy Corporation
Marguerite A. Herman,American Cancer Society
Marian J. Schulz,Association of Wyoming Insurance Agents
Marilyn Werner,Self
Marion Loomis,Wyoming Mining Association
Mark Harris,Wyoming Association of Municipalities
Mark R. Stewart,Wyoming Bankers Assn.
Mark R. Stewart,self
Marsha M. Allen,Wyoming Automobile Dealers Association
Marvin Casey Madsen,Wyoming Wheat Growers Assn.
Mary Ann Collins,"Jona, Inc."
Mary J. Keating-Scott,George K. Baum & Company
Mary Lynne Shickich,
Mary Lynne Shickich,WY Assn. of Public Charter Schools
Mathew Hamblin,USW
Mathew Hamblin,Delta Dental of Wyoming
Mathew Hamblin,Casper Re-Entry Center
Matt Kruse,Wyoming Education Association
Melvin H. Gillispie,Retired
Melvyn S. Wilkenfeld,"Fronter Refining, Inc."
Meredith A. Taylor,Wyoming Outdoor Council
Michael A. Ceballos,Qwest
Michael Burd,USW
Michael D. Smith,Bresnan Communications
Michael E. Bohl,Wyoming Bank & Trust
Michael K. Purcell,ACEC of Wyoming
Michael S. Fox,RT Communications
Michael S. Fox,SWAT Team
Mike Mores,Farmers Insurance
Mike Moser,Wyoming Assisted Living Coalition
Mike R. Stufflebean,United Transportation Union
Mona L. Pearl,Western States Learning Corporation
Monte H. Morlock,USW
Monte Williams,United States States Smokeless Tobacco
Nancy D. Freudenthal,YMCA
Nancy J. Sorenson,Self
Nancy M. Darnell,Self
Nathan A. Beauheim,Cheyenne Public Employees Assn.
Nick J. Bettas,P&M Coal Mining Company
Nicole M. Urbigkit,ACMS/LLC
Norman Long,Kinder Morgan Inc.
Norman Long,Powder River Basin Resouce Council
Patricia S. Washburn,
Patrick C. McGuire,
Patrick Monahan,Wyoming Primary Care Association
Patrick R. Day,"Solvay Minerals, Inc."
Patrick S. McManus,
Paul C. Pereira,TAP Pharmaceuticals
Paul J. Hickey,"Kinder Morgan, Inc."
Paula G. Barnett,BP
Paula G. Barnett,Wyoming Outdoor Council
Perry Pearce,Conoco Phillips
Philip A. Washburn,
Phillip F. Van Horn,Wyoming Student Loan Corporation
Phillip F. Van Horn,Wyoming Education Association
Randy Harris,Black Hills Corporation
Randy J. Dunn,Self
Randy J. Kozuch,National Rifle Association of America
Randy J. Vickers,Wyoming Fire Chiefs
Renee D. Gamino,AARP of Wyoming
Renee M. Brower,Wyoming Society of CPA's
Rhonda P. Priest,Self
Richard C. Atkinson,Rio Tinto Energy America
Richard C. Wolf,Individual
Richard G. Pallister,Rocky Mountain Elk Foundations
Richard G. Pallister,"Apple Computer, Inc."
Richard H. Miller,University of Wyoming
Richard M. Hartman,Union Pacific Railroad
Rick F. Schum,Blue Cross Blue Shield of Wyoming
Rin Karns,"American Nortel Communications, Inc."
Rita Campbell,Fremont County School District # 24
Robert C. Mayor,Wyoming Youth Services Assn.
Robert D. Kuchera,Wyoming Public Employees Association
Robert D. Spencer,Self
Robert H. Leonard,Self
Robert Harmon,Holiday Inn
Robert Harmon,Wyoming Airport Operator's Association
Robert M. Tarantola,PacificCorp
Robert P. Adams,Alliance for Marriage Foundation
Robert Wharff,Sportsmen for Fish & Wildlife of Wyoming
Roberta Garrett,Self
Roberta M. Darnall,U of W Alumni Assoc.
Rodney A. Olson,Federated Firefighters of Wyoming
Roger C. Fransen,"Kinder Morgan, Inc."
Ron O. Hughes,"Solvay Chemicals, Inc."
Ron Sniffin,
Ronald D. Williams,Self
Ronald J. Rakowsky,Credit Union Association of Wyoming
Roy A. Turner,Wyo Petroleum Marketers Assn.
Russ Wenke,Wyoming Fire Chiefs
Ruth C. Sommers,Regional Svcs. Providers of WY
Sami L. Falzone,Bresnan Communication
Sara M. Flitner,Flitner Communications
Sarah C. Hines,Self
Scott B. Yates,Trout Unlimited
Scott D. Brown,"MedImmune, Inc"
Scott D. Hinderman,Wyoming Airport Operator Association
Scott Zimmerman,Farmers Union Service Association
Sharon S. Breitweiser,NARAL Pro-Choice Wyoming
Sharon S. Breitweiser,Wyoming Game Wardensm Association
Shawn W. Taylor,Wyoming Rural Electric Association
Sheila D. Foertsch,"Wyoming Trucking Association, Inc."
Sheila W. Bush,Wyoming Medical Society
Sherlyn A. Kaiser,Wyoming Medical Center
Sheryl L. Schmidt,
Stacy Young,
Stanley R. Arnold,Reynolds American Inc.
Stephanie A. Kessler,Greater Yellowstone Coalition
Stephen A. Schmidt,
Steven A. Ertelt,Right to Life of Wyoming
Steven C. Johnson,"ONEOK, Inc."
Steven F. Freudenthal,"Medco Health Soultions, Inc."
Steven M. Adami,Self
Susan M. Menghini,Wyoming Associations & Government Affairs
Susie M. Pouliot,Wyoming Medical Society
Suzan C. Pauling,Wyoming Coalition Against DV/SA
T. Clay Gibbons,
T. Clay Gibbons,Self
T.J. Hunt,Wyoming Fire Chiefs
Tammy Cox,Fremont County School District # 24
Teffany Fegler,Fremont County School District # 24
Teresa C. Oatsvall,Self
Terry L. Mayer,Fremont County School District #38
Terry L. Ungricht,United Transportation Union
Terry R. Jones,Brotherhood of Locomotive Engineers &
Terry R. Jones,Wyoming Outdoor Council
Terry R. Jones,Self
Terry W. Groenewold,Self
Thomas B. Jubin,Wyoming Trial Lawyers Association
Thomas M. Mason,Cheyenne Metropolitan Planning Organization
Thomas M. Mason,Fremont County School District # 24
Thomas N. Hudson,Wyoming Fire Service
Thomas N. Long,Self
Tim J. Crilly,Blue Cross Blue Shield of Wyoming
Timothy S. Summers,AARP
Timothy Wells,Wyoming Building Trades
Timothy Wells,Wyoming Fire Assn.
Todd M. Feezer,C.P.E.A.
Tom Jones,Far West Equipment Dealers Assn.
Tracy Mihas,Philip Morris USA Inc.by its service company
Trish A. Fritz,Well Dog
Trish McDaid-Oneill,"AstraZeneca Pharmaceuticals, LP"
W. Perry Dray,Cheyenne Regional Medical Center
Walter F. Eggers,Bresnan Communications
Wendy H. Lowe,Kern River Gas Transmission Co.
William A. Haas,"McLeodUSA, Inc."
William A. Haas,Wyoming Association of Municipalities
William A. Urbigkit,"ACMS, LLC"
William G. Dale,Wyoming Chapter National Electrical
William H. Courter,"McLeodUSA, Inc."
William J. Thomson,AFLAC
"Wilmer Gay, III",Wyoming Association of Pre-Hospital
WY Ambulance and Emergency Vehicle,
Wyoming Outfitters and Guides Association,Bresnan Communications
Zane Fross,Fremont County School District # 24
