Lobbyist,Client
Platte County Hospital,Johnson & Johnson
Wendy H. Lowe,Keen River Gas Transmission Co.
Gregory C. Dyekman,Kennedy Western University
The Family Clinic,Kennedy-Western University
Gene A. Roland,"Kinder Morgan, Inc."
Mary A. Throne,"Kinder Morgan, Inc."
Norm P. Long,"Kinder Morgan, Inc."
Roger C. Fransen,"Kinder Morgan, Inc."
Les R. Meyer,"KinderMorgan, Inc."
Nagaraj V. Kunda,Kunda Mediators Lobbyist Et. Al. Intl.
Tim L. Zimmerman,Laborers' Union Local 1271
Laurie D. Goodman,Landowners Assn. Of Wyoming
Linda C. Barker,Laramie County Republican Women
Keith Goodenough,LAW
Naomi F. Heitzman,LAW
Dave Searle,Marathon Oil Company
Douglas E. Thierwechter,Marathon Oil Company
Tramaine L. Chargois,Marathon Oil Company
Rita K. Bolles,March of Dimes
James E. Thompson,McLeod USA Incorporated and its subsidiaries
William H. Courter,McLeod USA Incorporated and its subsidiaries
Charlene M. Murdock,MDU Resources Group
Cynthia M. Laubacher,"Medco Health Solutions, Inc."
David Robinson,"Medco Health Solutions, Inc."
Scott D. Brown,"MedImmune, Inc."
Kathy E. Ruffalo-Farnsworth,Monsanto
W. Perry Dray,Motion Picture Association of America
Margaret M. Spearman,"Motorola, Inc."
James M. Geesey,Mountain West Farm Bureau
Craig P. Smith,My Patients
Sharon K. Wisroth,NARAL Pro-choice WY
Sharon Breitweiser,NARAL Pro-Choice Wyoming
John C. Bishop,National Electric Contract Assn.
Jennifer C. Lamb,National Outdoor Leadership School
Anne M. Larsen,National Patient Advocacy Foundation
Carolyn L. Herbertson,National Rifle Association - ILA
Anne MacGuire,Natrona County Medical Society
Betsy L. Vigneri,Natrona County Medical Society
Cody C. Anderson,Natrona County Medical Society
Dana R. Ideen,Natrona County Medical Society
James A. Anderson,Natrona County Medical Society
Jerry Behrens,Natrona County Medical Society
Jodi Kaigh,Natrona County Medical Society
Joseph E. Mickelson,Natrona County Medical Society
"Joseph M. Vigneri, MD",Natrona County Medical Society
Kent D. Katz,Natrona County Medical Society
Majorie L. Wells,Natrona County Medical Society
Mary F. MacGuire,Natrona County Medical Society
Robert A. Vigneri,Natrona County Medical Society
Samuel J. Vigneri,Natrona County Medical Society
Steven A. Orcutt,Natrona County Medical Society
Tom W. Landon,Natrona County Medical Society
Ron F. Crook,North Lincoln County Hospital District
Barbara A. Christensen-Bone,Novartis Pharmaceuticals
Tim Wells,Pacific Northwest Carpenters
Erin N. Taylor,PacificCorp
Robert M. Tarantola,PacifiCorp
Bruce Hinchey,Petroleum Association of Wyoming
Dru Bower,Petroleum Association of Wyoming
"Elmer S. Parson, Jr.",Petroleum Association of Wyoming
John Robitaille,Petroleum Association of Wyoming
Linda C. Pryor,Pfizer
Brian Leugs,PhRMA
Bryan D. Hehemann,Platte County School District #2
Deborah K. Thomas,Powder River Basin Resource Council
Jill R. Morrison,Powder River Basin Resource Council
Kevin F. Lind,Powder River Basin Resource Council
Pennie Vance,Powder River Basin Resource Council
Mike Blenkush,Powder River Energy Corp.
Bill McIlvain,Preston University
Vicki R. Orcutt,Push Wy
Charles E. Greenhawt,Questar Exploration and Production Co.
Jody L. Levin,Qwest Communications
Michael A. Ceballos,Qwest Communications
Michael M. McNulty,Qwest Communications
Blake L. Henning,Rocky Mountain Elk Foundation
Scott E. Zimmerman,Rocky Mountain Farmers Union
Mary L. Chapman,Rocky Mountain Food Industry Assn.
Ruth C. Sommers,RSP of Wyoming
Mark E. Kinney,RX Plus Pharmacies Inc.
Patrick Teegarden,"Schering-Plough External Affairs, Inc."
Jason Moon,Schools
Rachel Elizabeth Jones,Schools
David E. Courter,Self
Eric Munoz,Self
Judy M. McCullough,Self
Richard M. Whalen,Self
Suzanne S. Haden,Self
Wil Lederer,Self
Vickie L. Goodwin,Sierra Club
Richard Luchsinger,Small District Coalition
James I. Maxfield,"Solvay Chemicals, Inc."
Robert A. Wharff,Sportsmen for Fish & Wildlife Wyoming
Charles G. Simino,SPRINT
Kimberly A. Sherrod,St. John's Medical Center
Steve Perry,Star Valley Medical Center
Cory J. Stirling,"Stirling & Stirling, PC"
Alan M. Garrison,Student
Gay Woodhouse,SW Forum
Paul C. Pereira,"TAP Pharmaceuticals, Inc."
Bob Budd,The Nature Conservancy
Pamela Dewell,The Nature Conservancy
Sara Flitner,The Nature Conservancy
Nick J. Bettas,The Pittsburg & Midway Coal Mining Company
Donald C. Jackson,Tri County Telephone Assn. Inc.
Jon Beyer,Tri-State Generation & Transmission Assn.
Nancy D. Freudenthal,"TSP Two, Inc."
John Ross,Two Rivers Emporium
Richard M. Hartman,Union Pacific Railroad
Bryan D. Hehemann,United Medical Center
Charles F. Harms,United Medical Center
David C. Hall,United Medical Center
Kathleen A. Green,United Medical Center
Leigh West,United Medical Center
Mary J. Baze,United Medical Center
Phyllis Bell,United Medical Center
"Robert J. Stuart, Jr.",United Medical Center
Anthony C. Herrera,United Steelworkers
Mike R. Stufflebean,United Transportation Union
Terry L. Ungricht,United Transportation Union
Timothy D. Kenny,United Transportation Union
Richard H. Miller,University of Wyoming
Roberta M. Darnall,University of Wyoming Alumni Assn.
Daniel C. Fuchs,"UST Public Affairs, Inc."
Cindy Knight,Volunteer for Wyoming Youth Services Assn.
Donna J. Mattinson,Volunteer for Wyoming Youth Services Assn.
Doreen G. Garrison,W.A.C.E.
Dan E. Mann,WAOA
Douglas R. McLaughlin,WEPAC
Richard J. Baldes,Wind River Alliance
Pam Fulks,WMC
David G. Munday,WMJ
Mona Lee Pearl,WSLC
Phillip F. VanHorn,WSLC
Jason M. Tangeman,WTLA
Marlin A. Walter,"Wup,omg Retired Teachers Assn."
Wesley W. Hiser,WY Medical Society
Kim A. Floyd,WY State AFL - CIO
Keith A. Kennedy,WY-AG-Business Association
Betty Iverson,Wyeth
Joseph M. Evans,Wyo City Comm. Assn.
Marion Loomis,Wyo. Mining Assn.
Chance W. Warne,Wyoming Airport Operators Assn.
David S. Haring,Wyoming Airport Operators Assn.
Jay D. Lundell,Wyoming Airport Operators Assn.
Bobbie K. Frank,Wyoming Assn. Of Conservation Districts
Teresa H. Cole,Wyoming Assn. Of Conservation Districts
Kristi A. Wallin,Wyoming Assn. Of Psychiatric Physicians
Laurie Urbigkit,Wyoming Assn. Of REALTORS
Lawrence C. Anderson,Wyoming Assn. Of School Administrators
Bryon F. Oedekoven,Wyoming Assn. Of Sheriffs and Chefs of Police
George H. Parks,Wyoming Association & Municipalities
T. Tim Solon,Wyoming Association of Churches
Dave T. Johnson,Wyoming Association of Municipalites
Arthur T. Badgett,Wyoming Association of Municipalities
Kevin D. Bohnenblust,Wyoming Association of Psychiatric Physicians
Jeff Freeman,Wyoming Automobile Dealers Association
Attention Homes,"Wyoming Bank ""Trust"""
David R. Johnson,Wyoming Bankers Association Inc.
William J. Sexton,Wyoming Behavioral Institute
Bill C. Schilling,Wyoming Business Alliance
H.L. Jensen,Wyoming Cable T.V. Assn.
James B. Patterson,"Wyoming Capitol Fund, LLC"
John Pickrell,Wyoming Cardipulmonary Services
Robert A. Novick,Wyoming Cardropulmonary Services
Cori K. Erickson,Wyoming Children's Access Network
Deanna L. Frey,Wyoming Children's Action Alliance
Susan C. Pauling,Wyoming Coalition Against DV/SA
Benjamin D. Lamb,Wyoming Conservation Voters
Jason C. Marsden,Wyoming Conservation Voters
Charles E. Ware,Wyoming Contractors Association
Jonathan E. Downing,Wyoming Contractors Association
Jane E. Willard,Wyoming Credit Union League
Ronald J. Rakowsky,Wyoming Credit Union League
Diane K. Crosby,Wyoming Crime Victims' Coalition
Elizabeth Gentile,Wyoming Downs
Eric L. Nelson,Wyoming Downs
Joan Bledsoe Ramos,Wyoming Downs
Lorie A. Anderson,Wyoming Downs
Delores J. Hayek,Wyoming Education Assn.
Matthew D. Kruse,Wyoming Education Assn.
Gary L. McDowell,Wyoming Education Association
Steven R. Thulin,Wyoming Education Association
Richard A. Leslie,Wyoming Epilepsy Association
Robert H. Leonard,Wyoming Estate Planning Advisory Council
Matthew Hambin,Wyoming Farm Bureau
Jim Hefenieder,Wyoming Farm Bureau Federation
Kerin M. Clark,Wyoming Farm Bureau Federation
Viola M. Ose,Wyoming Federation of Republican Women
Don Huber,Wyoming Fire Chiefs
Gary C. Scott,Wyoming Fire Chiefs
Randy J. Vickers,Wyoming Fire Chiefs
Richard J. Hauber,Wyoming Fire Chiefs
Russell Wenke,Wyoming Fire Chiefs
Duane Stolns,Wyoming Fire Chiefs Assn.
Steven C. Yeakel,Wyoming Funeral Directors Association
Roger A. Bredehoft,Wyoming Game Wardens Assn.
James C. Kaste,Wyoming Hospital Association
Robert C. Kidd,Wyoming Hospital Association
Daniel J. Perdue,Wyoming Hosptial Association
Mike Moser,Wyoming Lodging and Resturant Association
Sherlyn A. Kaiser,Wyoming Medical Center
Gunnar S. Malm,Wyoming Medical Society
Jim Haden,Wyoming Medical Society
Johnny M. Tooke,Wyoming Medical Society
Richard Rideout,Wyoming Medical Society
Robert Monger,Wyoming Medical Society
"Stephen D. Brown, MD",Wyoming Medical Society
Wendy P. Curran,Wyoming Medical Society
Robert M. Grant,Wyoming Mining Assn.
George A. Bartholomew,Wyoming Municipal Power Agency
Mary L. Behrens,Wyoming Nurses Association
Sue H. Sharp,Wyoming Nurses Association
Mark A. Preiss,Wyoming Outdoor Council
Michele M. Barlow,Wyoming Outdoor Council
Terry A. Pollard,Wyoming Outfitters & Guides Assn.
Tim L. Hockhalter,Wyoming Outfitters & Guides Assn.
Todd W. Jones,Wyoming Outfitters & Guides Assn.
Robert B. Betts,Wyoming Outfitters and Guides Assn.
Sam L. Coutts,Wyoming Outfitters Assn.
Dean A. Winsch,Wyoming Pharmacy Assn.
Mindy D. Rasmussen,Wyoming Pharmacy Association
Nikki M. Yost,Wyoming Pharmacy Association
Sarah A. Blakely,Wyoming Pharmacy Association
Bruce T. Moats,Wyoming Press Association
Jim Angell,Wyoming Press Association
Renee Gamino-Diaz,Wyoming Primary Care Assn.
Sharon Montagnino,Wyoming Primary Care Association
Jonias Jr. Elmore,Wyoming Professional Towing Assn.
Betty Jo Beardsley,Wyoming Public Employees Assn.
Conrad A. Lass,Wyoming Rural Electric Assn.
Shawn W. Taylor,Wyoming Rural Electric Assn.
Al Atkins,Wyoming School Boards Assn.
Mark Higdon,Wyoming School Boards Assn.
Mike Hays,Wyoming Sheriffs & Chiefs
Jack A. Carroccia,Wyoming Society for Respiratory Therapist
Renee Brower,Wyoming Society of CPA's
Mary B. Guthrie,Wyoming State Bar
Sharon K. Wilkinson,Wyoming State Bar
Richard E. Smith,Wyoming State Shooting Assn.
Green River Valley and Trust,Wyoming Stock Growers Assn.
Glenn H. Pauley,Wyoming Stock Growers Land Trust
Todd H. Beckstead,Wyoming Surgical Associates
Randy A. Bolles,Wyoming Taxpayers Assn.
Amanda Hunkins Newton,Wyoming Trial Lawyers Assn.
Marcia K. Shanor,Wyoming Trial Lawyers Association
Tom Jubin,Wyoming Trial Lawyers Association
Sheila D. Foertsch,"Wyoming Trucking Assn., Inc."
Donald Brent Taylor,Wyoming Trucking Association
Stan W. McNamee,Wyoming Weed & Pest Council
Cathy M. Purves,Wyoming Wildlife Federation
Bryce R. Reece,Wyoming Wool Growers Assn.
Bruce J. Burkland,Wyoming Youth Service Association
David A. Block,Wyoming Youth Services Assn.
Richard L. Kaysen,"Xcel Energy/Cheyenne Light, Fuel and Power"
Elaine Walsh,Yellowstone National Art Trust
Michael L. Becker,Yellowstone Regional Airport
Thea Adamo,Young Patriots
