Lobbyist,Client
Sheila D. Foertsch,"Wyoming Trucking Association, Inc."
Deanna L. Frey,Wyoming Children's Action Alliance
Trish A. Fritz,"WellDog, Inc."
(307) 721-8875,
James M. Geesey,Mountain West Farm Bureau
James M. Geesey,AARP Wyoming
(307) 635-2272,UST Public Affairs Inc.
Zane Fross,Fremont County School District #24
Melvin H. Gillispie,AARP Wyoming
Cathy L. Gonzales,AARP Wyoming
David J. Graham,Board of Agriculture
David Gowdey,Wyoming Wildlife Federation
Organization Address,Equality State Policy Center
Laurie D. Goodman,Landowners Association of Wyoming
Robert Matthew Grant,Wyoming Mining Association
Sarah Marie Green,Sunwest Mgt/Wy Assisted Living
Charles E. Greenhawt,Questar Exploration & Production Co.
Paul D. Griffin,
Charles C. Grove,Sublette County School District #1
William A. Haas,McLeodUSA Incorporated and its subsidaries
Kerry P. Hall,Delta Dental of Wyoming
Steve D. Hamaker,Greater WY Big Brothers Big Sisters
Kelly J. Hamilton,"Wyoming Citizens Review Panel, Incorporated"
Ken Hamilton,Mountain West Farm Bureau Insurance
James A. Harper,Smoke Free Cheyenne
G. Eugene Hardy,Hardy Ranch LLC
Organization Address,Rock Springs Chamber of Commerce
Mark O. Harris,Fremont County Coroner
Randal G. Harris,Black Hills Corporation
John B. Harrison,Frontier Correctional Systems
Louis R. Headley,St Stephens Indian School Educational Assoc.
Carolyn L. Herbertson,National Rifle Association - ILA
Carolyn L. Herbertson,
Jean Hayek,Wyoming Education Association
Richard M. Hartman,Union Pacific Railroad Company
Marguerite A. Herman,"Healthy Mothers, Healthy Babies Coalition of"
Paul J. Hickey,"Kinder Morgan, Inc."
Bruce A. Hinchey,Petroleum Association of Wyoming
Gail K. Hillebrand,"Consumer Union of U.S., Inc."
Organization Address,Wyoming School Boards Assn.
(307) 638-1468,Cheyenne Regional Airport
James Hoover,Bayer Corporatoin Pharmaceutical Division
Judy Horton,"Wyoming Racing, Inc."
Cheryll M. Howard,
Don Huber,Wyo Fire Service
Lora L. Huston,ACI
Brenda Ilg,NARAL
Brenda Ilg,Wyoming Assisted Living Coalition
Loretta L. Humphrey,AARP Wyoming
Betty Iverson,Wyeth
David R. Johnson,Wyoming Bankers Association Inc.
Dave Johnson,Wyoming Association of Municipalities
Daniel D. Johnson,Chevron USA Inc. and the other
H.L. Jensen,WCTA
Brianna l. Jones,
Brianna l. Jones,Fremont County School District #24
Donald C. Jackson,Tri County Telephone
Helen K. Jones,Dead Horse Creek Cattle Company
Terry B. Jones,Wyoming Crop Improvement
Terry R. Jones,BLET
Tom A. Jones,Executive & Legislative Services
Organization Address,Wyoming Trial Lawyers Association
Sheryln A. Kaiser,Wyoming Medical Center
Paul D. Kauchich,City of Rock Springs
Timothy A. Kaumo,City of Rock Springs
Robert C. Kidd II,Wyoming Hospital Association
Robert C. Kidd II,Equality State Policy Center
Robert C. Kidd II,Wyoming Ag-Buisiness Assn.
Mary J. Keating-Scott,George K. Baum & Company
Richard L. Kaysen,"Cheyenne Light, Fuel & Power Company"
Rose M. Kor,Prevent Child Abuse Wyoming
Neil S. Kourbelas,City of Rock Springs
Jerold C. Lambert,Bresnan Communications
(307) 637-8622,Wyoming Wildlife Federation
Organization Address,"Foundation Coal West, Inc."
Brent R. Kunz,ExxonMobil
Mike Lane,EnCana Oil and Gas USA
Linda M. Lang,American Cancer Society
Anne M. Larsen,NARAL Pro-Choice Wyoming
Organization Address,
Richard A. Leslie,Wyoming Epilepsy Assn.
Jody L. Levin,Qwest
Brian Leugs,Pharmaceutical Research & Manufacturers of
Dan J. Lex,AIG Insurance
Kevin F. Lind,Powder River Basin Resource Council
Marion Loomis,Wyoming Mining Association
Judith A. Lorenz,St Stephens Indian School Educational Assn.
Judith A. Lorenz,Amercian Council of Life Insurance
Norman P. Long,Kinder Morgan Inc.
David J. Lovato,Sunwest Mgt/Wyoming Assisted Living Co
Organization Address,
Wendy H. Lowe,Alliance of Automobile Manufacturers
Barbara G. Lussenhop,HLR Services
Organization Address,Wyoming Democratice Party
Jay E. Lyon,FMC Corporation
James H. Magagna,Wyoming Stock Growers
Larry Manchester,Fremont County School District #24
Fax,Blue Cross Blue Shield of Wyoming
Fax,"Solvay Chemicals, Inc."
Fax,Verizon Wireless
Jason C. Marsden,WY Conservation Voters
Leigh Anne G. Manlove,Wyoming State Bar Foundation
Nancy D. McCann,Wyoming Public Employees Association
Robert J. McCarty,Wyoming Education Association
Organization Address,Independent
Organization Address,Mtn West Farm Bureau
Michael A. McKey,Marijuana Policy Project
Organization Address,Small District Coalition
Organization Address,Wyoming Education Association
Michael D McCracken,Sunwest Management
Patrick S. McManus,Design Build Institute of America
Jim S. Mickelson,Board of Agriculture
Les R. Meyer,"Kinder Morgan, Inc."
Phone,Independent
Phone,"MultiStates Associates, Inc. on behalf of ACS"
John R. McPherson,Duke Energy Field Services
John R. McPherson,Qwest
Stan W. McNamee,Wyo Weed & Pest Council
Tracy Mihas,"Philip Morris USA Inc., by its service company"
Eric V. Miller,
Jason C. Miller,Wyoming Charter Schools Initiative
Joe Morelli,
(307) 286-5807,Wyoming Press Associaton
William L. Mize,"Kinder Morgan, Inc."
Jason S. Mincer,Wyoming Education Association
Richard H. Miller,University of Wyoming
Mike Mores,Farmers Insurance
Monte Morlock,United Steel Workers
Organization Address,
Donald R. Morris,Wyoming Education Association
Mike Moser,Wyoming Lodging and Resturant Association
Organization Address,Contact Communications
Jill R. Morrison,Powder River Basin Resource Council
Ryan R. Mueller,Wyoming Public Employees Association
Michael Mupo,Cellco Partnership dba
Warren Murphy,
Brenda S. Nation,American Council of Life Insurers
Earl Nesbitt,National Association of Settlement Purchasers
Fax,Pacificorp
Phone,Equality State Policy center
Byron F. Oedekoven,Wyoming Association of Sheriffs and Chiefs
Rodney A. Olson,Federated Fire Fighters Of Wyoming
Fax,National Trust for Historic Prevention
Fax,"Apple Computer, Inc."
Fax,State Farm Insurance
Lee A. Otto,Wyoming State Board of Agriculture
(307) 682-8949,Wyoming Federation of Republican Women
Kathleen H. Orton,Child Development Services of Wyoming
Laurel Parker West,Wyoming Women's Foundation
Organization Address,315 W. 27th Street
Ted Parsons,Devils Tower Centennial Comm
W. Perry Pearce,Burlington Resources
Organization Address,Wyo Coalition Against Dr/Sa
Carolyn Paseneaux,AARP
Phone,WSLC
Mark J. Pepper,Wyoming Association of Rural Water Systems
Daniel J. Perdue,Wyoming Hospital Association
Mantha L. Phllips,National Surgical Hospital
Organization Address,Dan Sullivan Consulting
Organization Address,Sublette County W&P
Paul C. Pereira,TAP Pharmaceuticals
Dennis Pince,Fremont County School District #24
Michael Purcell,ACEC of Wyoming
Cathy M. Purves,Trout Unlimited
Linda C. Pryor,Pfizer
dpince@wyoming.com,Wyoming Outdoor Council
(307) 857-6996,Wy Medical Society
Alan Pomeroy,Big Horn County Weed & Pest
Ronald J Rakowsky,Wyoming Credit Union League
Bryce R. Reece,Wyoming Association of County Predatory
"John B. Rigg, Jr.",BP America
Nancy Riedel,Cellco Partnership dba
Chris Reyburn,Compass Point Wellness Center
Chris B. Robisch,Contact Communications
(720) 479-3343,Chevron Corporation
John T. Robitaille,Petroleum Association of Wyoming
Richard T. Robitaille,Anadarko Petroleum
Steve R. Rodriguez,
Gene A. Roland,Kinder Morgan
"John A. Russell, Jr.",NAMI - Park County
Phone,Anadarko Petroleum
Margo Harlan Sabec,Devon Energy Corporation
Bradley A. Sarff,City of Rock Springs
Gregory R. Schaefer,"Arch Coal, Inc."
Stephen A. Schmidt,Concerned Citizen
Sheryl L. Schmidt,Homeschoolers of Wyoming
Al Schmidt,Homeschoolers of Wyoming (HOW)
Bill Schilling,Wyoming Business Alliance
Organization Address,Kennecott Energy
Marian J. Schulz,Association of Wyoming Insurance Agents
Rick F. Schum,Blue Cross Blue Shield of Wyoming
Julie S. Sexton,Wyoming Association of Nonprofit
Julie S. Sexton,Jeffrey C. Wardle Academy
Fred David Searle,Marathon Oil Company
Michael L. Schwope,Wyo Weed & Pest Council
Susan Shaffer,American Heart Assn.
Chris Shelledy,
Chris Shelledy,Greater WY Big Brothers Big Sisters
Phone,Campbell County Chamber of Commerce
Marcia Shanor,Wyoming Trial Lawyers Association
Mary Lynne Shickich,Wyoming Medial Center
Charles G. Simino,Spring
Darla A. Sisel,Independent
Organization Address,Cellco Partnership dba
Organization Address,Motorola Inc.
"Matthew R, Sorenson",Independent
Phone,RSP of Wyoming
Phone,Pfizer Inc.
Peggy M. Smith,Community Children's Project
William J. Stafford,Basin Electric Power Corporation
Anita Sullivan,Community Children's Project
Anita Sullivan,United Transportation Union
Duane Stolns,Wyoming Fire Chiefs
Mark R. Stewart,Wyoming Bankers Association
Dan B. Sullivan,Blue Cross/Blue Shield of Wyoming
Organization Address,AARP Wyoming
Organization Address,Greater Yellowstone Coalition
Jason A. Tangeman,Laramie Economic Development Committee
Robert A. Tarantola,PacifiCorp
Fax,Marathon Oil Company
Patrick Teegarden,"Schring-Plough External Affairs, Inc."
Shawn W. Taylor,Wyoming Rural Electric Association
Organization Address,Wy Taxpayers Association
Organization Address,Wyoming Trucking Association
"Robert O. Tate, Jr.","Process Service of Wyoming, Inc."
Barbara Thirstrup Zar,Black Hills Corporation/Cheyenne Light
Deborah K. Thomas,Powder River Basin Resource Council
Stephen D. Thomas,Sierra Club
Organization Address,McLeodUSA Incorporated and its subsidiaries
William J. Thomson,AFLAC
Mary A. Throne,"Kinder Morgan, Inc."
Organization Address,Shell Oil Company
Rodney G. Trees,
Dwayne B. Trembly,AARP Wyoming
Ken J. Trowbridge,AARP Wyoming
David D. Uchner,Amercian Insurance Association
Organization Address,EnCana Oil and Gas USA
(307) 632-0305,Wyoming Petroleum Marketers Assn.
Holly P. Turner,Wyoming Association of Non Profit
Stephen M. Unfired,Self
Laurie Urbigkit,Conwood Company L.P.
Terry L. Ungricht,United Transportation Union
Phone,
Phillip F. Van Horn,WSLC
Organization Address,
John L. Vanvig,Powder River Basin Resource Council
Les Vasey,Laborer's Local # 1271
Charles E. Ware,Wyoming Contractors Association
Kristi A. Wallin,Wyoming Association of Psychiatric
Vess Walker,City of Rock Springs
Organization Address,Devon Energy Corporation
Randy J Vickers,City of Laramie
Patricia Washburn,
Philip A. Washburn,
Kay Watson,Fremont County School District #24
Helen J. Wells,"Kinder Morgan, Inc."
Organization Address,Self
Tim Wells,PNWRCC
Organization Address,Sportsmen for Fish & Wildlife
Lynne M. Whalen,City of Casper
Ronald D. Williams,
"Roi G. Williamson, Jr.",AAA Mountain West
Dean A. Winsch,WPHA
Loretta C. Wolf,Great West Division American Cancer Society
Lawrence J. Wolfe,Bresnan Communications
M. Brian Yarrington,
Bradley J. Young,RX Plus Pharmacies
Stacy Young,
Elizabeth Zerga,3M
Linda Zimmerman,March of Dimes
Scott Zimmerman,Farmers Union Service Assn.
Kurt A. Zunker,Wyoming Drug Court Association
