Lobbyist,Client
Jill R Morrison,Powder River Basin Resource Council
Jim Wall,Microsoft
Joan G Solem,Eli Lilly & Co
Joan Ramos,Wyoming downs
Jody L Levin,BNSF Railway Co
John A Sundahl,"Cheyenne Light, Fuel & Power Co"
John C Dill,
John D Angst,Collier-Inland
John D Angst,Wyoming Press Association
John F Parr,Outdoors
John M Kuker,Wyoming Medical Society
John P McBride,Blue Cross Blue Shield of Wyoming
John T Robitaille,Petroleum Association of Wyoming
Johnnie Burton,Myself
Jonathan D Stephens,Wyoming Game Wardens Association
Jonathan Downing,Wyoming Contractors Association
Josh Phair,Wal-Mart Stores Inc
Judy Catchpole,Catchpole Enterprises Inc
Judy R Horton,American Quarter House Association
K&R Enterprises,Wyoming Bankers Association
K&R Enterprises,American Heart Assn Southwest Affiliate
Katherine M Schum,Greater Cheyenne Chamber of Commerce
Katie Legerski,Wyoming Contractors Association
Keith A Kennedy,Wyoming Ag-Business Association
Kelly Hoffman,All West Communications
Kelly S Davis,AARP
Ken Hamilton,Wyoming Farm Bureau Fed
Ken J Trowbridge,AARP
Kenneth J Vaughn,Cameco Resources
Kerry P Hall,Delta Dental of Wyoming
Kevin F Lind,Powder River Basin Resource Council
Kevin K Doyle,Constitution
Kim Capron,Wyoming Chamber of Commerce Partnership
Kirsi M Ludwig,Sheridan Memorial Hospital
Kristin H Lee,CenturyLink
Kristina M Delgado,Brotherhood Maintenance Way Employees
Laura Lewis,AFLAC
Laurie Andrews,Jackson Hole Land Trust
Laurie R Farkas,Wyoming Business Alliance
Lawrence J Wolfe,Access to Justice Commission
Leann M Kuhl,Wyoming Medical Society
Leslie A Hoffman,Crisis & Referral Emergency Services
Leslie Blythe,Rocky Mountain Power
Linda D Burt,American Civil Liberties Union (ACLU)
Lindi L Kirkbride,AARP
Lisa Winn,Exxon Mobil Corporation
Liz Brimmer,Casper Re-Entry Center
Loni A Hillyard,Wyoming Real Estate Appraiser Board
Lori A West,WY Federation Republican Women
Luke J Letlow,QEP Resources Inc
Lydia S Decaria,Wyoming Public Employees Association
Lydia S Decaria,Wyoming Education Association
Lynnette J Boomgaarden,NONE STATED
M Brad Enzi,North American Power Group LTD (NAPG)
Marguerite A Herman,consumer Advocates: Project Healthcare
Marian J Schulz,Association of Wyoming Insurance Agents
Marion E Loomis,Wyoming Mining Association
Mark Higdon,Wyoming School Boards Association
Mark J Pepper,Wyoming Association of Rural Water Systems
Mark Madsen,Wyoming Contractors Association
Mark P Young,Wyoming Fire Chiefs
Mark R Larson,Wyoming Petroleum Marketers Association
Mary A Collins,Jona Inc
Mary B Guthrie,Union Pacific Railroad
Mary L Chapman,Astra Zeneca
Mary Lynne Schickich,Wyoming Medical Center
Mary M Marrin,Altria Client Services Inc & Its Affiliates
Matt Dogali,National Rifle Association
Matt Grynwald,Rent-A-Center
Matt Hamblin,United Steel Workers (USW)
Matt Hamblin,National Electrical Contractors Association
Max Douglas Watford,WyWatch Family Action
Melissa Nelson-Osse,Tata Consultancy Services
Melissa Shannon,CSC (Cablevision Systems Corp Holdings)
Michael A Massie,University of Wyoming
Michael D Ashton,Exxon Mobil Corp
Michael D Smith,QEP Resources Inc
Michael Geesey,Wyoming Bankers Association
Michael Gregory Weisz,Northern Laramie Range Alliance
Michael J Hastings,Real Estate Appraisers
Michael J Kouris,Wyoming Association of Special Education
Michael J Kouris,National Center for Lesbian Rights
Michael Lepchitz,Alpha Natural Resources Inc
Michael P Donnelly,Home School Legal Defense Association
Michelle D Mack,Express Scripts Holding Co
Mike Mores,Insurance
Mike Mores,International Justice Mission at University of
Monte H Morlock,United Steel Workers
Nathan E Bekke,Casper Star-Tribune
Nick M Agopian,Devon Energy
Norman D Bock,Wyoming Retired Education Personnel
Norman P Long,SourceGas Distribution
Pamela Dewell,Wyoming Stock Growers Land Trust
Patricia J Guzman,Delta Dental of Wyoming
Paul Nelson,Wyoming Downs
Paul Plofchan,Pfizer Inc
Phil F Van Horn,Wyoming Association of Nonprofit
Randy J Vickers,Wyoming Fire Chiefs Association
Ray L Schulte,Goshen County School District #1
Ray L Schulte,Govt relations/Dan Sullivan
Rebecca J Fisher,Sexual Assault Family Violence Educational
Renee Brower,Wyoming Society of CPAs
Richard A Cozad,Fire Service
Richard M Garrett,Wyoming Outdoor Council
Rick F Schum,Blue Cross Blue Shield of Wyoming
Robert A Wharff,Wyoming Sportsmen
Robert C Kocher,Wyoming Fire Service
Robert C Peterman,Acupuncturists
Robert D Kuchera,Wyoming Public Employees Association
Robert L Phillips,AARP
Robert W Moberly,Resident Preference
Roger W Clark,Selt
Roger W Clark,Novartis Pharmaceuticals Corp
Ron Sniffin,Wyoming Education Association
Roxanne Spalding Homar,Safeway Inc
Russell Wenke,Wyoming Fire Chiefs
S Joel Hastings,MedImmune Inc
Sami L Falzone,Access to Justice Commission
Samm K Lind,Wyoming Children's Law Center
Samuel D Powell,Wyoming Peace Officers Association
Sara Flitner,Conservation Fund
Sara R Thompson Cassidy,Union Pacific Railroad
Scott Zimmerman,Farmers Union Service Association
Shane C Schulz,QEP Resources Inc
Shannon R Anderson,Powder River Basin Resource Council
Sharon Breitweiser,NARAL Pro-Choice Wyoming
Sharon Breitweiser,Wyoming Game Wardens Association
Stacie L Sumner McDonald,Web Enabled Retailers
Stephen R Klein,Wyoming Liberty Group
Steve A Kilpatrick,Wyoming Wildlife Federation
Steve D Bahmer,Leading Age Wyoming
Steven F Freudenthal,Natrona County School District #1
Sue Blayre-White,Corrections
Susan A Sharp,Child Development Services of Wyoming
Susan A Sharp,State Farm Insurance
Susan A Sharp,Wyoming Trial Lawyers Association
Tara D France,Wyoming Professional Court Reporters
Tara D France,American Society for the Prevention of
Tara D France,Wyoming Trucking Association
Taryn R Ginter,Concerned citizen
Taryn R Ginter,Wyoming Fire Chiefs Association
Terrie J Swift,Wyoming Chamber Partnership
Thomas B Jubin,Wyoming Trial Lawyers Association
Thomas Clayson,Samson Resources Co
Thomas L Massie,WyWatch
Thomas N Long,Self
Thomas R Maddux,Altria Client Services & Its Affiliates
Tim P Wells,Carpenters Union AFL-CIO
Timothy S Summers,AARP
Todd J Rathner,American Silencer Association
Tom Jones,American Society for the Prevention of
Toni Decklever,Wyoming Assoc for Career & Technical
Travis Deti,Wyoming Mining Association
Trevor Chandler,Human Rights Campaign
Union Telephone,Wyoming Equality
Union Telephone,Lawyers & Advocates for Safer Wyoming
Wally Rayl,WyWatch Family Action
Walter F Eggers III,Access to Justice Commission
Wendy H Lowe,Peabody Energy
Wendy P Curran,Blue Cross Blue Shield of Wyoming
Wendy P Curran,Saratoga/Platte Valley Chamber
William A Urbigkit,City of Riverton
William J Stafford,Basin Electric Power Cooperative
William S Goodwin,me
Williams Companies,AARP
Wyoming Optometric Association,Equality State Policy Center
Wyoming Optometric Association,Wyoming Association of Public Charter
Wyoming Student Loan Corporation,Wyoming Weed & Pest Council
