Lobbyist,Client
Loretta L. Humphrey,AARP
Lori A. Millin,
Lori A. Wilkerson,People First of Wyoming
Lyle Williamson,Verizon
Lynnette J. Boomgaarden,
Marcia K. Shanor,Wyoming Trial Lawyers Association
Margaret Spearman,BNSF Railway Company
Maria O. Sierocki,
Maria O. Sierocki,EqualiltyCare
Marian J. Schulz,Association of Wyoming Insurance
Marion Loomis,Wyoming Mining Association
Marjorie C. Gorman,
Mark Harris,Wyoming Association of Municipalities
Mark Higdon,Wyoming School Board Association
Mark J. Pepper,Wyoming Association of Rural Water Systems
Mark L. Aronowitz,Lawyers and Advocates for Wyoming
Mark R. Larson,Colorado Wyoming Petroleum Marketers
Mark Tallman,Pacific Corp
Marlene K. Aitchson,Laramie County Fire District #2
Marsha M. Allen,Wyoming Automobile Dealers Association
Mary E. Silvernell,
Mary Keating-Scott,George K. Baum & Co
Mary Lou Chapman,Rocky Mountain Food Industry Association
Matt Dogali,National Rifle Association of America
Matt Dogali,"Pathfinder Renewable Wind Energy, LLC"
Matthew Johnson,Takeda Pharmaceuticals America
Mel Wilkenfeld,"Frontier Refining, Inc."
Michael A. Moser,"Association and Advocacy Group, Inc."
Michael Ceballos,Qwest Communications
Michael D. Ashton,Exxon Mobil Corporation
Michael D. Smith,"QEP Resources, Inc., QEP Energy"
Mike Hays,Wyoming Association Sheriffs & Chiefs
Mike Mores,Farmers Insurance
Mona L. Pearl,"Western States Learning Corp, d/b/a Align"
Nancy Riedel,Verizon
Nicholas M. Agopian,Devon Energy
NSI,WY State AFL-CIO
Pamela Dewell,Wyoming Stock Growers Association
Pamela Dewell,BMWEN / IBT
Pamela Dewell,Wyoming County Commissioners Association
Patrick Carlson,Wyoming Chapter NECA
Patrick G. Davidson,
Patrick J. Crank,National Parks Conservation Association
Patrick Monahan,Wyoming Primary Care Association
Paul J. Ulrich,Encana Oil & Gas USA
Paul O. Paad,Wyoming Central ABATE
Paul Plofchan,"Pfizer, Inc."
Paula K. McCormick,Wyoming Ecocomic Development Association
Peggy L. Rounds,
Phillip F. Van Horn,"Western States Learning Corp, d/b/a Align"
Renee Brower,WY Society of CPA's
Renee D. Gamino,AARP Wyoming
Richard A. Leslie,
Richard Garrett,Wyoming Outdoor Council
Rick F. Schum,Blue Cross Blue Shield of Wyoming
Robert Budd Betts,Wyoming Outfitters and Guides Association
Robert D. Kuchera,WY Public Employees Association
Robert E. Rolston,Anadarko Petroleum
Robert M. Grant,Rocky Mountain Power
Robert M. Tarantola,Black Hills Corporation
Roger A. Bredehoft,Wyoming Game Wardens Association
Roger Peterson,Federated Firefighters of Wyoming
Roman A. Fresquez,
Rose M. Sanders,Wyoming Epilepsy Association
Russ Wenke,Wyoming Fire Chiefs Association
Ryan M. Lance,University of Wyoming
S. Joel Hastings,"MedImmune, Inc."
Sam D. Powell,Wyoming Peace Officers Assoc.
Sami L. Falzone,Access to Justice
Sarah Gorin,Equality State Policy Center
Scott A. Robertson,National Outdoor Leadership School
Scott G. Sutherland,Cheyenne LEADS
Scott W. Meier,"Hathaway & Kunz, P.C."
Scott Zimmerman,Farmers Union Service Assn.
Shane C. Schulz,"QEP Resources, Inc."
Shannon R. Anderson,Powder River Basin Resource Council
Sharon Breitweiser,NARAL Pro-Choice Wyoming
Shawn W. Taylor,Wyoming Rural Electric Association
Sheila Bush,Wyoming Medical Society
Sheila D. Foertsch,"Wyoming Trucking Association, Inc."
Sollie Cadman,Wyoming Weed & Pest Council
Stephanie A. Kessler,The Wilderness Society
Stephen A. Reynolds,"Luca Technologies, Inc."
Stephen N. Johnson,
Steve D. Bahmer,Quality Health Care Foundation
Steven B. Golnar,City of Rawlins
Steven F. Freudenthal,National Popular Vote Initiative
Sue A. Sharp,Child Development Services of WY
Sue E. Mecca,EchoStar Broadcasting Corporation
Susan R. Thomas,The Craig and Susan Thomasn Foundation
Susie L. Scott,Wyoming Primary Care Association
Suzan Pauling,Wyoming Coalition Against Domestic
Tammy Cox,
Tammy L. Gamino,People First of Wyoming
Tammy L. Mahan,Wyoming Assoc. of Correctional Employees
Taylor H. Haynes,
Teffany Fegler,Fremont County School District #24
Terry R. Jones,Wyoming Conservation Voters
Thea Adamo,WYWATCH Family Action
Thomas Jubin,Wyoming Trial Lawyers Association
Tim J. Crilly,Blue Cross Blue Shield of Wyoming
Timothy Gilmore,"Brownstein Hyatt Farber Schreck, LLP"
Timothy S. Summers,AARP Wyoming
Tod J. Hundt,Wyoming Fire Chiefs Association
Tom A. Jones,Wyoming Association of Public Accountants
Toni S. Decklever,Planned Parenthood of the Rocky Mountains
Trish McDaid-O'Neil,"AstraZeneca Pharmaceuticals, LP"
Van E. Driessen,"The First Church of Christ, Scientist, Boston,"
Wallace I. Rayl,WYWATCH Family Action
Walter F. Eggers,Access to Justice
Wendy H. Lowe,Kern River Gas Transmission
Whitney M. Swieter,American Cancer Society Cancer Action
William Frank Eathorne,
William J. Pomeroy,"CP Consulting, Inc."
William J. Thomson,AFLAC
William Perry Dray,Motion Picture Association of America
William Stafford,Basin Electric Power Cooperative
Willis C. Williams,Wyoming Education Association
Wyoming Beer Distributors Association,People First of Wyoming
