Lobbyist,Client
Ellen Merchant,People First of Wyoming
Eric V. Miller,
Erin A. Fair,American Cancer Society Cancer Action
Erin L. Begeman,WY ASSOC Mental Health & Substance
Erin L. Percival,Associated Students of UW
Erin N. Taylor,Wyoming Taxpayers Association
Frankie Addington,
Gale Geringer,"Gale Geringer, LLC"
Gene A. Roland,SourceGas Distribution
Gene W. Lovin,Wyomint Trapper Association
George Garcia,People First of Wyoming
George Parks,Wyoming Association of Municipalities
George Santini,Wy Trial Laywers Assn.
Gingee M. Prince,Clearlake Group
Greg Schaefer,"Arch Coal, Inc."
Greg Schnacke,Americans for Amercian Energy
Gregory C. Dyekman,Community Financial Services Association
H.L. Jensen,W.C.T.A.
Heidi L. Hopkins,The Humane Society of the United States
Helen Nicodemus,People First of Wyoming
Hilary Dennis,"MedImmune, LLC"
Howard Carson,General Education Foundation
James E. Rogers,Federated Fire Fighters of Wyoming
James Hamilton,"LifeLock, Inc."
James Henry Magagna,Wyoming Stock Growers Association
James Hoover,"Bayer Corp. Pharm. Division, Bayer"
James I. Maxfield,Solvay Chemicals Inc.
James L. Applegate,"Wyoming Entertainment, LLC"
James L. Applegate,Wyoming Press Association
James M. Whalen,The Sonoran Institute
James P. Roberts,Embarq
James R. Fox,Wyoming Fire Service
James T. Sims,Amercians for Amercian Energy
Jamie L. Wolf,
Jana Howard Ginter,AARP
Janet L. Anderson,WY Fed. Of Rep. Women
Janice D. Drury,American Heart Association
Janice D. Drury,Cheyenne Regional Medical Center
Janie White,
Jason C. Marsden,WY Conservation Voters
Jason Claiborne,"Clairborne Auctioneers, LLc"
Jason M. Sanchez,
Jason P. Hendricks,
Jason S. Begger,Rio Tinto Engery America
Jason S. Mincer,Smokefree Wyoming
Jeffrey B. Jones,National Society of Professional Surveyors
Jennifer Horvath,Wyoming Chapter - ACLU
Jennifer K. Crowe,
Jill Morrison,Powder River Basin Resouce Council
Jim Logan,Fremont County School District #24
Joanne Bowlby,AARP Wyoming
Jodi C. Guerin,Wyoming Community Foundation
Jodi L. Radke,Campaign for Tobacco-Free Kids
Joe Fender,Federated Fire Fighters of Wyoming
John B. Rogers,Smokefree Wyoming Coalition Volunteer
John C. Patton,Wyoming Land Title Assn.
John L. Birbari,Wyoming Family Coalition
John M. Kuker,Powersports Dealers Association of Wyoming
John P. McBride,BlueCross BlueShield of Wyoming
John P. McBride,Fremont County School District #24
John T. Robitaille,Petroleum Associaton of Wyoming
John T. Robitaille,"Contact Communications, Inc."
Jonathan Downing,Wyoming Contractors Association
Jonathan Downing,American Cancer Society
Joseph Evans,Wyo County Commissioners Association
Josh Gutierrez,Father Factor
Josh Phair,"Wal-Mart Stores, Inc."
Joshua A. Shorb,Wyoming Weed & Pest Council
JoshuaJoel R. Carnahan,Associated Builders & Contractors (ABC) of
Joy Bannon,Wyoming Wildlife Federation
Judith S. Catchpole,K12 Inc.
Judy R. Horton,Wyoming Horse Council
Karen Valentine-Pond,Wyoming Assn. of Realtors
Kate M. Fox,Powder River Basin Resources Council
Katharine A. Kunz,K and R Enterprises
Kathleen A. Scheurman,WY Education Association
Kathryn Valido,Wyoming Education Association
Katie Legerski,Wyoming Contractors Association
Kay Watson,Fremont County School District #24
Keith A. Kennedy,Laurie Urbigkit
Kelly Durham,Corrections Corporation of America
Kelly Gardner,Shoshoni Schools
Ken Hamilton,Wyoming Farm Bureau Federation
Ken Trowbridge,AARP
Kenny E. Barnshart,People First of Wyoming
Kerry P. Hall,Delta Dental of Wyoming
Kevin F. Lind,Powder River Basin Resource Council
Kevin Smith,Fremont County School District #24
Kim A. Floyd,Wyo State AFL-CIO
Kim Clemetson,Fremont County School District #24
Kimberly A. Johnson,(UPS) United Parcel Service
Kimberly M. Amen,Father Factor
Kristina M. Delgado,Teamsters BMWED Local 1142
L. Barton Peach,City of Cheyenne
Laurie D. Goodman,"John Vincent, Individual"
Lawrence C. Anderson,Wyo Assn. School Administrators
Lawrence J. Wolfe,Bresnan Communications
Leanne D. Gassaway,America's Health Insurance Plans
Leigh Anne G. Manlove,Wyoming State Bar Foundation
Les Vasey,Laboorer's Local #1271
Linda Pryor,Pfizer Inc.
Linda R. Mundell,Self-Employed
Liz A. Brimmer,DKRW Advanced Fuel
Liz T. Zerga,3M License Division
Loretta Wolf,American Caner Society Cancer Action
Louis A. Meeks,
Lynn Birleffi,ALTIP
Marcia K. Shanor,Wyoming Trial Lawyers Association
Marcia K. Shanor,Marathon Oil Corporation
Margo Sabec,Devon Energy Corporation
Marguerite Herman,American Cancer Society
Marian J. Schulz,Altria Client Services Inc. and its Affiliates
Marion Loomis,Wyoming Mining Association
Marion Loomis,"Registered Agency Services, Inc."
Mark A. Vandeberghe,Wy Watch
Mark Harris,Wyoming Association of Municipalities
Mark Harris,Smoke Free Wyoming Coalition
Mark Higdon,Wyoming School Boards Assn.
Mark L. Aronowitz,Lawyers & Advocates for Wyoming
Mark L. Nelson,WY Game Wardens Assn.
Mark Madsen,Wyoming Contractors Assoc
Mark R. Larson,Colorado Wyoming Petroleum Marketers Assn.
Mark Stege,Black Hiils Power
Marlene K. Aitchison,Wyoming State Fire Chiefs Assn.
Marsha M. Allen,Wyoming Automobile Dealers Association
Marvin E. Emrich,
Mary Ann Collins,"Jona, Inc."
Mary B. Guthrie,UPRR
Mary E. Hogarty,Town of Pinedale
Mary Lou Chapman,Rocky Mountain Food Industry Assn.
Mary Lynne Shickich,
Matt Dogali,National Rifle Association of America
Matt G. Lumley,WTA
Matthew D. Kaufman,Wyoming Citizens for Chartered Public
Matthew J. Huntington,"Gadsden Legal, LLC"
Matthew Johnson,Takeda Pharmaceuticals
Maureen Emrich,
Melvyn S. Wilkenfeld,Frontier Refining Inc.
Michael D. Freedman,Coventry
Michael Hays,Wyoming Assn. of Sheriffs & Chiefs of Police
Michael K. Burd,United Steelworkers 13214
Michael N. Embree,Wyoming Education Association
Mike D. Smith,Questar Market Resources
Mike McDonald,Fremont County Solid Waste District
Mike Mores,Farmers Insurance
Mike Moser,Association and Advocacy Group
Molly J. Box,Cheyenne Camber of Commerce
Mona W. Passignano,Focus on the Family Action
Monte H. Morlock,USW Local 13214
Morgan (Drew) Andrew Hill,"Wyoming Family Coalition, PAC"
Nagaraj V. Kunda,"Strategic Business Management, Inc."
Nagaraj V. Kunda,March of Dimes
Nancy D. Freudenthal,"Sand Creek Development Services III, Inc."
Naomi Allen,Wyoming Retired Ed. Personnel
Nicholas M. Agopian,Devon Energy
Nick Bettas,Chevron Mining Inc.
Norman P. Long,SourceGas Distribution
O'Kelley H. Pearson,"SouceGas Distribution, LLC"
Pamela Dewell,Wy Stock Growers Ag Land Trust
Patrick E. Hacker,Wyoming Education Assn.
Paul Plofchan,Pfizer Inc.
Penelope R. Caldwell,
Penelope R. Caldwell,Wyo. Chapter ACLU
Perry Pearce,Conoco Phillips
Phyllis Sherard,Cheyenne Regional Medical Center
Pravina L. Gondalia,
Randy J. Vickers,Wyoming Fire Chiefs Assn.
Renee D. Gamino,AARP
Renee M. Brower,Wyoming Society of CPA's
Richard A. Leslie,Wy Epilepsy Assn.
Richard F. Schum,BlueCross BlueShield of Wyoming
Richard M. Hartman,Union Pacific Railroad
Richard M. Hartman,Wyoming Coroner Association
Richard R. Sackett,Laramie County Weed & Pest
Richard T. Robitaille,Anadarko Petroleum Corporation
Rick Cozad,Federated Firefighters of Wyoming
Rita Campbell,Fremont County School District #24
Robert A. Wharff,WY Sportsmen for Fish & Wildlife (SFW)
Robert D. Kuchera,Wyoming Public Employees Association
Robert G. Cox,
Robert H. Leonard,Wyoming Estate Planning Adivosry Council
Robert L. Bailey,First American Title
Robert M. Tarantola,Indoor Tanning Association
Robert Matt Grant,Rocky Mountain Power
Roberta M. Darnall,U of Wyo Alumni Association
Roger A. Bredehoft,Wyoming Game Wardens Assn.
Roger C. Peterson,Federated Firefighters of Wyo
Ron Sniffin,Wyoming Ed Assn.
Russell Schnitzer,The Nature Conservancy
Ruth M. Case,
Sami Falzone,Bresnan Communications
Samuel G. Wilde,Wyoming Fire Chiefs
Sandra (Sandy) S. Hunter,Wyoming Taxpayers Assn.
Sara M. Flitner,Trout Unlimited
Sara Tays,Exxon Mobil Corporation
Sarah Gorin,Equality State Policy Center
Sarah Lorentz,People First of Wyoming
Scott W. Meier,Scott W. Meier PC
Scott Yates,Trout Unlimited
Shandra D. Emrich,
Shane C. Schulz,Questar
Shane M. Scheid,Wyoming Liberty Group
Shannon R. Anderson,Powder River Basin Resource Council
Sharon Breitweiser,NARAL Pro-Choice Wyoming
Sharon K. Wisroth,NARAL
Sheila Bush,Wyoming Medical Society
Sheila D. Foertsch,Wyoming Trucking Association
Shelly J. McAlpin,
Shepard O. Humphries,
Shepard O. Humphries,AARP
Sherlyn Kaiser,Wyoming Medical Center
Sophie A.H. Osborn,Wyoming Outdoor Council
Stacy Young,WYWATCH
Stanley R. Arnold,Reynolds American
Steve A. Bahmer,Wyoming Hospital Association
Steve Freudenthal,Coventry
Susan E. Fessler,People First of Wyoming
Susan M. Riske,
Susan Menghini,AHIP - American's Health Insurance Plans
Suzan Pauling,Wyo Coalition Against Dr/Sa
Suzan Pauling,MPO
T.J. Hunt,Wyoming Fire Chiefs
Tammy Cox,Fremont County School District #24
Tammy L. Gamino,People First of Wyoming
Teffany Fegler,Fremont County School District #24
Terry R. Jones,ESPC
Theresa M. Thompson,
Thomas B. Jubin,Wyoming Trial Lawyers Assoc.
Thomas Hodgkins,"Scientific Games International, Inc."
Thomas Hodgkins,Petroleum Association of Wyoming
Thor F. Rasmussen,Federated Fire Fighters of Wyoming
Tim J. Crilly,BlueCross BlueShield of Wyoming
Tim Wells,Carpenters Union
Tim Wells,Wyoming Mining Assocation
Timothy R. Dore,Credit Union Association of Wyoming
Timothy S. Summers,AARP
Todd R. Schultz,Exxon Mobil Corporation
Toni Decklever,Wyoming Association for Career Technical
Toni Decklever,Holland & Hart LLP
Trish McDaid-O'Neil,
Uranium One,Wyoming Geographic Alliance
Wendy H. Lowe,Kern River Gas Transmission Co.
William (Len) L. Mize,SourceGas
William J. Thomson,AFLAC
William J. Thomson,
Zane Fross,Fremont County School District #24
