Lobbyist,Client
Rolinda K. Sample,Greater Cheyenne Chamber of Commerce
Ron Sniffin,Wyoming Education Association
Ronald G. Wild,Western Workforce Services Initiative
Rondald D. Williams,Self
Russell G. Wenke,Wyoming Fire Chiefs
Ruth C. Sommers,Regional Services Providers of Wyoming
Sara M. Flitner,The Nature Coservancy
Scott D. Brown,"MedImmune, Inc."
Scott P. Landguth,"Pete Lien & Sons, Inc."
Scott Zimmerman,Farmers Union Service Association
Shandra Emrich,Wyoming for Birth Options
Shane C Schulz,Questar
Shannon R. Anderson,Powder River Basin Resource Council
Sharon Breitweiser,NARAL Pro-Choice Wyoming
Sheila D. Foertsch,"Wyoming Trucking Association, Inc."
Sheila Marie Strand,People First of Wyoming
Spencer B. Guthrie,Glaxosmithkline
Stephanie A. Kessler,The Wilderness Society
Stephanie S. Tyler-Jackson,"AT & T Services, Inc."
Stephen D. Bahmer,Wyoming Hospital Association
Steven R. Laird,Foundation Wyoming Land Co.
Susan A. Sharp,Child Development Services of WY
Susan M Menghini,Wyoming Assisted Living Coalition
Susan M. Riske,American Cancer Society
Suzan Pauling,Wyo Coalition Against DV/SA
T.J. Hunt,Chiefs Association
Tammie Keney,People First of Wyoming
Tammy Cox,Fremont County School District #24
Teffany Fegler,Fremont County School District #24
Terry R. Jones,Brotherhood of Locomotive Engineers &
Thomas B. Connolly,C T Corporation System
Thomas N. Hudson,Wyoming Fire Service
Thomas N. Hudson,Wyoming Fire Service
Tim J. Crilly,Blue Cross Blue Shield of Wyoming
Tim Wells,Carpenters Union
Timothy D. Kenny,United Transportation Union
Timothy S. Summers,AARP
Tobi L. Wickham,HCMS Group
Tobi L. Wickham,Sonoran Institute
Tobi L. Wickham,Wyoming Contractors Assn.
Todd R. Schultz,Exxob Mobil Corporation
Tom A Jones,Executive & Legislative Services
Tom M. Oswald,People First of Wyoming
Tom M. Oswald,Wyoming Women Republicans
Toni S Decklever,Wyoming Nurses Association
Tony C. Herrera,AFL-CIO/USW
Trsih McDaid-O'Neill,"AstraZemeca Pharmaceuticals, LP"
Trsih McDaid-O'Neill,Blue Cross Blue Sheild of Wyoming
Victor C. Lane,WyoFire Association
Vincent K. Polidora,Federated Firefighters of Wyoming
W. Perry Dray,Cheyenne Regional Medical Center
"Walter F. Eggers, III",Bresnan Communications
Wendy H. Lowe,Kern River Gas Transmission
Wil Gay,Sublette County EMS
William A. Greer,Self
William A. Greer,Equality State Policy Center
William A. Haas,McLeod USA
William J. Thomson,AFLAC
William Kitchen,"UCB, Inc."
Zane Fross,Fremont County School District #24
