Lobbyist,Client
Jennifer J. Goodman,Wyoming Territorial Park Corp.
Vickie Goodwin,Powder River Basin Resource Council
Sarah A. Gorin,Equality State Policy Center
Dean R. Greenwalt,Independent
Catherine L. Gonzales,AARP
Beverly J. Gross,American Cancer Society
Mary B. Guthrie,City of Cheyenne
William A. Haas,McLeodUSA Incorporated
James P. Hageman,Community Alternatives of
Kerry P. Hall,Delta Dental Plan of Wyoming
Ken N. Hamilton,Wyoming Farm Bureau Fed.
Walter L. Hammontree,Wyoming Territorial Park
Herbert A. Hampton,Self
James A. Hansen,Laborers Local 1271
Mark J. Hanson,Mountain States Lamb Cooperative
Jacqueline H. Harrod,Wyoming Education Assn.
Richard M. Hartman,Union Pacific Railroad
Elaine D. Harvey,Child Development Services of WY
John M. Hastert,
Delores Jean Hayek,Wyoming Education Assn.
Mike Hays,Wyoming Assn. Sheriff & Chiefs
Dan F. Heilig,Wyoming Outdoor Council
Bruce W. Heimbuck,Platte Co. School District #2
Debbie Herbst,Fremont County School District #24
Marguerite A. Herman,"Healthy Mothers, Healthy Babies"
Bill G. Hibbler,Wyoming Chapter American Physical c/o
Paul J. Hickey,Qwest Corporation
Jennifer L. Hilgenkamp,
Oliver C. Hill,Wyoming Territorial Park
Karen Hinchey,Wyoming Competitive Choices
Deborah K. Hinckley,Qwest
Bernard Holz,Board Member Sublette Co.
Cathy A. Homar,Campbell County Chamber of
Michael A. Howe,Wyoming Municipal Power Agency
Mark A. Howell,Northern Araphao Tribe
Don Huber,Wyoming Fire Chiefs Assn.
Lois A. Huff,Wyoming Society of CPA's
Lora L. Huston,Wyoming Automobile Dealers
Rita N. Inoway,AARP
Donald C. Jackson,Tri County Telephone Assn.
Glancey T. James,Wyoming Ethanol
Greg Jarvis,Fremont County School District
Joe Jelaca,General Chemical
Kathryn A. Jenkins,Wyo. Trial Lawyers Assn.
H.L. Jensen,W.C.T.V. WyoCable T.V.
Daniel D. Johnson,Chevron USA
David R. Johnson,Wyoming Bankers Association
Terry B. Jones,Wyoming Crop Improvement Assoc.
Terry R. Jones,Brotherhood of Locomotive Engineers
Tom Jones,Wyoming Library Assn.
Tom Jones,Wyoming Bankers Assn. Inc.
Tom Jubin,Wyoming Trial Lawyers Assn.
Sherlyn A. Kaiser,Wyoming Association of Realtors
Jennifer A. Kavenius,Petroleum Association of Wyoming
Richard L. Kaysen,"Xcel Energy/ Cheyenne Light, Fuel &"
Robert Kayser,Wyoming Rural Development Council
Mary J. Keating-Scott,George K. Baum & Company
Kevin G. Keller,Wyo. Trial Lawyers Assn.
Timothy D. Kenny,United Transportation Union
Rod R. Kessler,Johnson County School Dist. 1
Stephanie A. Kessler,Equality State Policy Center
"Robert C. Kidd, II",Wyoming Hospital Association
Phil E. Kiner,WPEA
Richard P. Knoespel,Abbott Laboratories
R. Thomas Knox,Pharmacia Corp.
Matt D. Kruse,Wyoming Education Association
Robert D. Kuchera,Wyoming Public Employees Assn.
John M. Kuker,Pharmaceutical Research &
Brent R. Kunz,Exxon Mobil Corporation
Steven R. Laird,RAG Wyoming Land.Co.
Peter C. Law,University of Wyoming Alumni Assn.
Kim D. Lee,Wyo. Fire Chief's Assn.
Robert H. Leonard,Wyoming Estate Planning Advisory
Helen G. Levine,AARP
Frederick D. Lewis,Wyoming State Bar
Dan Lex,Quality Heath Care Foundation
Kevin F. Lind,Powder River Basin Resource
Norm P. Long,Kinder Morgan Inc.
Marion E. Loomis,Wyoming Mining Assn.
David F. Lundahl,Federated Fire Fighters of Wyoming
Jeff R. Lundberg,Wyoming Ethanol
Jay E. Lyon,FMC Wyoming Corporation
Mark E. Macy,Wyoming Outdoor Advertising Assn.
Kelly F. Mader,Kennecott Energy Company
James H. Magagna,Wyoming Stock Growers Assn.
Jason C. Marsden,Wyoming Conservation Voters
John P. Marton,Tri-State Generation & Transmission
Larry Manchester,Fremont County School District #24
Jerry Maurer,Wyoming School Support Services
Janet M. Maxwell,Wyoming Chapter Sierra Club
Robert C. Mayor,
Beverly J. May,National Cntr. Tobacco Free Kids
Cindy L. McBride,Cheyenne Animal Shelter
Robert K. McBride,Wyoming Mortgage Lenders
Paula K. McCormick,Wyoming Economic Development
Ron B. McCue,Silver Star Communications
Rodger McDaniel,State Farm Insurance Co.
Gary L. McDowell,Wyoming Education Assn.
Gary L. McGee,Devon Energy Corporation
Marti J. McGraw,
Bill D. McIlvain,Small School Coalition
DouglasR. McLaughlin,
Monte L. McNamee,Wyoming Society of CPA's
Michael T. McNulty,Qwest
John R. McPherson,Duke Energy Field Services
Steve H. Merchen,Big D Oil Co.
Eric V. Miller,
Richard H. Miller,University of Wyoming
Bruce T. Moats,Wyoming Press Assn.
Dwight F. Moose,Weston County SD #7
Mike G. Mores,Farmers Insurance
Philip G. Morrow,"Coastal Chem, Inc."
Jill R. Morrison,Powder River Basin Resource Council
Mike Moser,Wyoming State Liquor Assn.
Robert T. Moxley,Gage & Moxley
Charlene M. Murdock,Kennecott Energy
Myrle A. Myers,Johnson & Johnson
James D. Narva,Federated Firefighters of Wyoming
Jon M. Narva,Federated Fire Fighters of WY
Ginger Newman,Wyoming Association of Municipalities
Cathy Norris,BNSF RR
Diane M. O�۪Keefe,Wyoming Dental Association
Rodney A. Olson,Federated Fire Fighters
Kathleen H. Orton,Children's Resource Center
Viola M. Ose,WY Federation of Republican Women
Christopher J.W. Oswald,National Rifle Association - ILA
Jack D. Palma,Dakota Minnesota & Eastern Railroad
George Parks,Wyoming Association of Municipalities
"Elmer S. Parson, Jr.",Petroleum Association of Wyoming
Shannon Jeanette Parsons,Self
Suzan C. Pauling,Wyoming Coalition Against Domestic
W. Perry Pearce,Burlington Resources Oil & Gas
Mona L. Pearl,Wyoming Student Loan Corporation
Daniel J. Perdue,Wyoming Hospital Association
Carole Perkins,Wyoming Chamber of Commerce
Dwight L. Perkins,International Assn. of Plumbing &
Ray Peterson,Wyoming Rural Development Council
Tim Pexton,Wyoming Rural Development Council
Vincent V. Picard,Wyoming Territorial Park
William J. Platt,United Transportation Union
William J. Pomeroy,"Xcel Energy/Cheyenne Light, Fuel & "
Linda C. Pryor,Pfizer Inc.
Luke T. Raczykowski,
John F. Ratchye,Wyoming Contractors Assoc.
Paul A. Rechard,Wyo. Territorial Park
Bryce R. Reece,Wyoming Wool Growers Association
Randall B. Reed,National Assoc. of Independent Ins.
Stephanie A. Reeves,Wyoming Association of Municipalities
Jack A. Reisig,Sublette School District #9
Andrea L. Richard,Rothgerber Johnson & Lyons
"John B. Rigg, Jr.","BP America, Inc."
Randall E. Rings,McLeodUSA Incorporated
Edward E. Risha,Carbon County Attorney's Office
Richard T. Robitaille,Anadarko Petroleum Corp.
Robert E. Rolston,Anadarko Petroleum
Matthew H. Romsa,Legislative & Law Reform Committee 500 Randall Avenue
Curtis D. Rostad,Wyoming Funeral Directors Assn.
Margo H. Sabec,Devon Energy Corporation
Bradley A. Sarff,Wyoming Fire Chiefs
Gregory R. Schaefer,"Arch Coal, Inc."
Jay Dee Schaefer,MT. West Farm Bureau Ins. Co.
"William ""Bill"" C. Schilling",Wyoming Business Alliance
Donald L. Schrader,Schrader Funeral Home
Marian J. Schulz,Wyoming Ethanol
Rick Schum,BlueCross BlueShield of Wyoming
Gary C. Scott,Campbell County Fire
Laurie Brooke Seidenberg,
Marcia Shanor,Wyoming Trial Lawyers Assn.
B. Weldon Shelley,School District No. 9
Harold V. Shockley,
Rhett C. Shumway,Wyoming National Guard Assoc.
Geoff Simon,MDU Resources Group
C. Richard Skinner,3M TCM Division
Robert E. Smith,Wyoming Pharmacists Assn.
Dennis P. Smyth,Wyoming Public Employees Assn.
Tim T. Solon,Wyoming Church Coalition
Ruth C. Sommers,RSP of Wyoming
Vicki L. Spencer,National Audubon Society
Jan A. Stalcup,LCSD #1
Phillip R. Steel,"Wyoming Wildthings, Inc."
Mark R. Stewart,Wyoming Bankers Association
Mike R. Stufflebean,United Transportation Union
Dan B. Sullivan,Philip Morris Inc. through its service
Jeff S. Suloff,Mountain West Farm Bureau
Timothy S. Summers,AARP
Scott G. Sutherland,Saint Joseph's Children's Home
DeAnn L. Sutton,Teton County
Kenneth B. Sutton,Wyoming Fire Chiefs Assn.
Rodney C. Svee,Sheridan County School District 1
Nina Svoboda,AAUW - American Association
Conilee Swantek,Platte County School Dist. #2
Brooke A. Sweeney,Brooke Sweeney
Kevin R. Sweeney,Crook Co. School Dist. #1
Robert M. Tarantola,Pacific Power/PacifiCorp
Brent Taylor,Wyoming Trucking Association
Meredith Taylor,Wyoming Outdoor Council
Robert L. Taylor,Wyoming Fire Chiefs
Nedalyn D. Testolin,Self
Douglas E. Thierwechter,Marathon Oil Company
Barbara B. Thirstrup,Black Hills Corporations
Sandi Thomas,Wyeth-Ayerst Laboratories
Stephen D. Thomas,Sierra Club
William J. Thomson,AFLAC
Tim E. Thorson,Riverton Chamber of Commerce
Susan D. Tromble,
Vernis R. Tromble,
Mary A. Throne,Qwest Corporation
Tom Throop,Equality State Policy Center
Ronald D. Tolman,Lincoln Co. S.D. #2
Dwayne B. Trembly,AARP/WRTA
Susan D. Tromble,
Vernis R. Tromble,
Roy A. Turner,Wyoming Petroleum Marketers Assn.
Leo A. Tsimbinos,Private Citizen
David D. Uchner,American Insurance Assoc.
Robert A. Ugland,Petroleum Assn. of Wyoming
Terry L. Ungricht,United Transportation Unon
Laurie Urbigkit,Wyoming Manufactured Housing Assn.
William A. Urbigkit,City of Riverton
Kathryn A. Valido,
Nancy L. Vandenberg,El Paso Corporation
Phillip F. VanHorn,Wyoming Student Loan Corporation
"Donald G. VanMatre, III",IUPA Local 626
Lisa M. Velker,WY Coalition Against DVSA
Susie P. Wacker,Wyoming Medical Society
Dylan Waddle,Devon Energy Corporation
Gary Wade,Devon Energy Corporation
Michael W. Walden-Newman,Wyoming Taxpayers Association
Danny N. Walker,Wyoming Public Employee Assn.
Earl R. (Dick) Wallis,"Wyoming Horseracing, Inc."
Evelyn L. Wall,
William D. Wall,International Conference of Building
Charles E. Ware,Wyoming Contractors Assoc.
Tim P. Wells,WY Carpenter PAC
Russ Wenke,Wyo Fire Chiefs
Edward S. Weppner,Wyoming Livestock Board
Dennis K. West,
Lynne M. Whalen,Natrona County Medical Society
Kyle D. White,Black Hills Corporation
Birkett J. William,Wyoming Chapter NECA
Ronald D. Williams,
Jim Wingert,
Loretta C. Wolf,Wyoming Assn. of Mental Health &
Lawrence J. Wolfe,Dakota Minnesota & Eastern Railroad
Gay Woodhouse,Wyoming Assn. of Mental Health
Ed Wright,Campbell Co. School District
Julie Yates,Wyoming Territorial Park
Liz T. Zerga,McLeodUSA
Scott E. Zimmerman,Rocky Mtn. Farmers Union
Tim L. Zimmerman,Local 1271
