Lobbyist,Client
Kim L. Briggs,"Address, City, State, Zip"
Elizabeth Brimmer,Jackson Hole Mountain Resort
Renee M. Brower,Wyoming Society of CPA�۪s
Kelly K. Brown,Wy. Assn. of Conservation Districts
Michael K. Brown,Wyo Assn. of Realtors
Kathy Brunken,"Address, City, State, Zip"
James W. Bunch,Black Hills Power
Bruce Burkland,Wyoming Youth Service Assn.
Michael J. Burnett,Wyoming DCI Agent Assoc.
Linda Burt,American Civil Liberties Union
Jerry L. Busby,Wyoming Fire Chiefs
George B. Byers,Rio Algom Mining Corp.
Steve R. Cady,
"John Carlson, Jr.",Qwest
Rita Campbell,Fremont County School Dist. #24
Jeffrey S. Carrier,Crook Co. School Dist. #1
Jack A. Carroccia,Farmers Ins. Group
Shirley R. Carson,Northern Arapaho Business Council
Michael A. Ceballos,Qwest
Christopher L. Chambers,Chevron
Susan L. Chambers,W.E.A.
Larry Christensen,"Address, City, State, Zip"
Barbara A. Christensen-Boner,Novartis Pharmaceuticals
Chris Christenson,Wyoming Education Association
Jim Clark,Goshen County School Dist. #1
Thomas H. Clayson,Petroleum Assn. of Wyoming
Tenny Collins,Wy Education Assn.
David R. Conn,McLeod USA Incorporated
Donald E. Coovert,RAG American Coal Company
Virginia Corwin,Kraft Foods Inc.
William H. Courter,McLeod USA Incorporated
Barry A. Counts,
Janet L. Cowles,Self
Steven R. Cranfill,R.J. Reynolds Tobacco Company
Tim J. Crilly,Blue Cross Blue Shield of Wyoming
Marvin H. Cronberg,Wyoming Dental Assoc.
Dennis E. Curran,Cheyenne Board of Public Utilities
Wendy P. Curran,Wyoming Medical Society
Robert S. Cummings,Wyoming Assn. of Physican�۪s Asst.
Charles William Custis,AARP
Randall L. Dancliff,Fannie Mae
Roberta (Robbie) M. Darnall,University of Wyo. Alumni Assn.
Donley Darnell,
Nancy M. Darnell,
Alex K. Davison,WYMHA
Raymond Dennis,Mid-States Coalition
Gene R. Diedtrich,Wyoming Firechief�۪s Assn.
Dennis A. Donohue,Region V Boces
Craig A. Dougherty,S.C.S.D. #2
Tobin G. Dressler,NCSD #1
Nancy Drummond,UTC
Janice D. Drury,American Heart Association
Ronda M. Eagleson,
Judy Eastman,WY Rural Electric Assn.
Terry H. Ebert,Lincoln County School Dist. #1
Billie Ruth Edwards,WY League of Women Voters
Karen M. Ellis,Sprint
Kathy C. Emmons,Wyoming Children�۪s Action Alliance
Clint W. Ensign,Sinclair Oil Corp.
Brad M. Enzi,Glaxo Smith Kline Pharmaceuticals
Joseph M. Evans,Wyoming Cty. Commissioners Assn.
Ronald L. Ewald,WPEA
Clark A. Fairbanks,Wyoming Youth Services Assn.
Sami L. Falzone,"Address, City, State, Zip"
Jessie A. Farr,Fremont County School Dist. #24
Vincent J. Fate,Federated Fire Fighters of Wyoming
John M. Faunce,Wyo State AFL-CIO
"Blake O. Fisher, Jr.",McLeod USA Incorporated
Kim A. Floyd,
Sheila D. Foertsch,Wyoming Trucking Association
Thomas O. Forslund,City of Casper
Bobbie Kay Frank,Wy Assn. of Conservation Dist.
Roger C. Fransen,KN Energy
Nancy D. Freudenthal,Wyoming Car Wash Association
Zane Fross,Fremont County School Dist. #24
Jack A. Fulton,The Western Sugar Company
Richard J. Gage,Wyoming Trial Lawyers Association
Melvin H. Gillispie,AARP
Connie J. Glassman,WPEA
John P. Glode,Jackson Hole Moutain Resort
Chris S. Gomez,Independent
Vickie Goodwin,"Address, City, State, Zip"
Sarah A. Gorin,Equality State Policy Center
Michael W. Green,"Crowley, Haughey, Hanson, Toole &"
George ���Greg�۝ G. Greenlee,Defense Lawyers Assn. of Wyo.
Christopher M. Greller,Independent
Spencer Guthrie,Glaxosmithkline
Mary Bell Guthrie,City of Cheyenne
John W. Guy,Univ. of Wyoming Alumni Assn.
Patrick Hacker,Wyoming Ed. Assn.
Kerry P. Hall,Delta Dental Plan of Wyoming
Herb A. Hampton,W/C Matters
Patricia Jean Hanks,Sweetwater School District #2
,Mountain States Lamb Cooperative
Richard M. Hartman,Union Pacific Railroad
Elaine D. Harvey,"Address, City, State, Zip"
John M. Hastert,United Steelworkers of America
Lynal D. Haugen,Wyoming Gun Owners Assn.
Delores Jean Hayek,Wyoming Education Assn.
Mike Hays,Wyo. Assn. Sheriffs & Chiefs
Charles Head,Albany County School District One
Jim Hefenieder,Wyoming Farm Bureau Federation
Dan F. Heilig,WY Outdoor Council
Darlene S. Heil,WEA/SIEA
Bruce W. Heimbuck,Platte Co. School Dist. #2
William G. Hein,Cheyenne Animal Shelter//Services
Ed Heintz,"Pfizer, Inc."
Robert L. Hendry,Wyoming Stock Growers Assn.
Marguerite A. Herman,PTA
Lisa A. Herold,Wyoming Education Assn.
Bill G. Hibbler,"Address, City, State, Zip"
Paul J. Hickey,KN Energy
William L. Hickman,Wyoming National Guard Assoc.
Mark Higdon,Campbell County Schools
Oliver C. Hill,Wyoming Territorial Park
Karen R. Hinchey,"Address, City, State, Zip"
Deborah K. Hinckley,Qwest
Lonny D. Hoffman,Fremont Cty. School Dist. #14
Bernard Holz,Sublette Co. School Dist. #1
Michelle R. Holbrook,American Cancer Society
Catherine A. Homar,"Address, City, State, Zip"
Allan D. Howard,
Michael A. Howe,Wyoming Municipal Power Agency
Mark A. Howell,Northern Arapaho Tribe
Don Huber,Wyoming Fire Chiefs
Lois A. Huff,Wyo Society of CPA�۪s
Lora L. Huston,Wyoming Auto Dealers Assn.
Ron Iverson,Wyoming Game Wardens Assoc.
Donald C. Jackson,Tri County Telephone Assoc.
Alice M. Jagiello,"Address, City, State, Zip"
Greg Jarvis,Fremont County School Dist. #24
Joe Jelaca,General Chemical
Kathryn A. Jenkins,Wyoming Trial Lawyers Association
Barry L. Jennings,Laramie County Fire Dist. #1
H.L. Jensen,Wyoming Cable T.V. Assn.
Daniel D. Johnson,Chevron USA
David R. Johnson,Wyoming Bankers Assoc. Inc.
Frank A. Johnson,Lincoln Cty. School Dist. #1
Terry B. Jones,Wyoming Crop Improvement Assoc.
Terry R. Jones,"Address, City, State, Zip"
Tom A. Jones,Multi-State Assn. on behalf of
Thomas B. Jubin,Wyoming Trial Lawyers Association
Sherlyn A. Kaiser,Wyoming Assn. of Realtors
Richard L. Kaysen,"Address, City, State, Zip"
Mary J. Keating-Scott,George K. Baum & Corp.
Kathy Keefe,NCSD #1
G. Kevin Keller,Wyoming Trial Lawyers Assn.
RaeAnn G. Kelsch,Western Wireless dba Celluar One
Lawrence F. Kemper,"Address, City, State, Zip"
Patricia P. Kennedy,University of Wyoming Alumni Assn.
Timothy D. Kenny,United Transportation Union
Rod R. Kessler,Johnson County School Dist. #1
Robert C. Kidd II,Wyoming Hospital Association
Phil E. Kiner,Wyoming Public Employees Assn.
Roberta M. Kirscht,AT&T
Stephen H. Kline,Direct Marketing Association
Cindy Knight,Wyoming Youth Services Assn.
R. Thomas Knox,Pharmacia
Matthew D. Kruse,Wyoming Education Association
John M. Kuker,Pharmaceutical Research & Mfg.
Brent R. Kunz,Exxon Mobil Corporation
Gregory W. LaCost,"Address, City, State, Zip"
Laura L. Lake,Natrona Co. School Dist. #1
David K. Lamont,State Electrial Board
Irene P. Larson,Cheyenne Teachers Ed. Assn.
Lane L. Larson,State Electrical Board
Thomas A. Lazzaro,McLeod USA Incorporated
Kim D. Lee,Wyoming Fire Chief�۪s Assn.
Robert L. Leibrich,First Interstate Bank
Diana Lee Lembitz,
Penny LeNoir Lang,Self
Marty P. Lenss,Wyoming Airport Operators Assoc.
Helen G. Levine,AARP
"Frederick (Rick) D. Lewis, Jr.",Wyoming State Bar
Dan J. Lex,Wyoming Optometric Assn.
Kevin F. Lind,"Address, City, State, Zip"
Katie A. Long,CTEA
Norman P. Long,Kinder Morgan Inc.
Marion E. Loomis,Wyoming Mining Assoc.
Judith A. Lorenz,Fremont County School District #25
Roy E. Lougee,Wyoming Youth Services Assn.
Richard S. Luchsinger,Niobrara County School Dist. #1
Jay D. Lundell,Wyoming Airport Operators Assn.
Jeff R. Lundberg,Coalition For Free Enterprise
Jay E. Lyon,FMC Wyoming Corporation
Kelly Mader,Kennecott Energy
James H. Magagna,Wyoming Stock Growers Assn.
Pamela A. Malzone,Wyoming Terrirorial Park
Larry Manchester,Fremont County School Dist. #24
Dana J. Mann-Tavegia,Self
Patrick S. Martin,Federated Fire Fighters of Wyoming
John P. Marton,Tri-State Generation & Transmission
Jerry Maurer,Wyoming School Boards Assoc.
Robert C. Mayor,St. Joseph�۪s Children�۪s Home
Janet M. Maxwell,WY Chapter Sierra Club
Cindy L. McBride,Cheyenne Animal Shelter/Services
Robert K. McBride,Cheyenne Animal Shelter
Bob McCarty,W.E.A. Volunteer
Ron B. McCue,Silver Star Communications
Roger McDaniel,State Farm Insurance Companies
Gary L. McDowell,Wyoming Education Association
Gary L. McGee,Devon Energy Corporation
Bill D. McIlvain,WY Small School Coalition
Monte McNamee,Wyo Society of CPA�۪s
Stan W. McNamee,Wyo Weed & Pest Council
Mike McNulty,Qwest
John R. McPherson,Duke Energy Field Services
Thomas S. McVean,"Address, City, State, Zip"
Sue E. Mecca,Echo Star/Dish Network
Donald A. Mende,Sweetwater School Dist. #2
Barbara W. Metin,American Cancer Society
Ken O. Miller,Carbon District #2
Richard H. Miller,University of Wyoming
Ron Miyamoto,Qwest
Bruce T. Moats,Wyoming Press Assn.
Sherrie B.Monk,B.H.C. School District #2
Daniel E. Monson,Wyoming Church Coalition
Mary A. Monson,Wyoming Church Coalition
Bryan C. Monteith,PSCD #6
Dwight E. Moose,Weston County S.D. #7
Mike Mores,Farmers Insurance
Jill R. Morrison,PRBRC
Judy A. Morrison,Washakie #2 School District
Philip G. Morrow,"Coastal Chem., Inc."
Mike Moser,WY Lodging & Resturant Assoc.
Rudy P. Munoz,Wyo A.C.L.U.
Charlene M. Murdock,Kennecott Energy
Merrell Nelsen,Fremont County SD #6
Mark L. Nelson,WY Game Warden�۪s Assn.
Jerome G. Neumiller,Independent
Ginger Newman,"Address, City, State, Zip"
Michael D. Newman,USWA
Eric A. Newton,Sweetwater County Sch. Dist. #2
Cathy Norris,BNSF R.R.
Jerry K. Olson,Wyoming Airport Operators Assn.
Daryl D. Orbeck,State Electrical Board
Kathleen H. Orton,"Address, City, State, Zip"
Viola M. Ose,"Address, City, State, Zip"
Christopher J.W. Oswald,The National Rifle Association
Garth H. Pabst,Independent
Darwin D. Pace,Fannie Mae
Linda D. Padon,Texaco Group Inc.
Jack D. Palma,"Address, City, State, Zip"
Frederick B. Palmer,Texaco
George H. Parks,"Address, City, State, Zip"
Roberta J. Patterson,Sweetwater Co. School Dist. #2
Perry W. Pearce,Burlington Resources
Mona L. Pearl,Wyoming Student Loan Corporation
Nell A. Pederson,Natrona County School District
Daniel J. Perdue,Wyoming Hospital Association
Carole Perkins,Sheridan County Chamber
Denise L. Phifer,Operating Engineers Local #3
Cheyrl L. Phinney,"Address, City, State, Zip"
Vincent V. Picard,Wyo Territorial Park
Herve Georges Picherit,Independent
William J. Platt,United Transportation Union
Terry A. Pollard,Wyoming Outfitters Guide Assn.
William J. Pomeroy,XCEL Energy - Cheyenne Light
Jennifer J. Pratt,
Linda C. Pryor,"Pfizer, Inc."
Michael K. Purcell,Wyoming Assoc. of Consulting
Bill B. Raduenz,Sheridan Co. SD #3
Lynette K. Randleman,Wyoming Dental Hygienists�۪ Assoc.
Jack F. Ratchye,Wyoming Contractors Association
Donald J. Raymond,"Address, City, State, Zip"
Bryce R. Reece,Mountain States Lamb Cooperative
Randall B. Reed,Express Pipeline Partnership
Stephanie Reeves,"Address, City, State, Zip"
Rozella P. Rice,Wyoming School Nurses Assn.
Sid R. Richardson,NW BOCES
Richard Rideout,Wyoming Medical Society
John ���Jack�۝ B. Rigg,BP Amoco Corporation
Randall E. Rings,McLeod USA Incorporated
Richard T. Robitaille,Anadarko Petroleum Corporation
Lori S. Romsa,
Matthew H. Romsa,"Address, City, State, Zip"
Sylvester R. Ross,AFLCIO (VA Local 192)
Curtis D. Rostad,Wyoming Funeral Directors Assn.
Peggy J. Sanders,Sublette County School Dist.
George Santini,WTLA
Brad Sarff,Wyoming Fire Chiefs
Greg Schaefer,"Arch Coal, Inc."
,"Address, City, State, Zip"
Bill Schilling,Wyoming Business Alliance
Gayle L. Schnorenberg,Natrona County School District
Donald L. Schrader,Schrader Funeral Home
Ray L. Schulte,Hot Springs Co. School
Marian J. Schulz,AIA Wyoming
Rick F. Schum,Blue Cross Blue Shield of Wyoming
Richard W. Schweigert,Hoffman-La Roche Services Corp.
Elaine F. Scott,Wyo Physical Therapy Assn.
Gary C. Scott,Wyoming Fire Chiefs
Marcia K. Shanor,Wyoming Trial Lawyers Association
B. Weldon Shelley,Sublette County School Dist. #9
Norman R. Sherbert,Burlington Northern Santa Fe R.R.
Harold V. Shockley,Park County School Dist. #1
Brian C. Shuck,"Address, City, State, Zip"
Geoff Simon,"MDU Resources Group, Inc."
Richard (Dick) Skinner,3M Traffic Control Materials Div.
Thelton Q. Skipper,Delta Dental of Wyoming
Angela H. Smith,Big Horn County School Dist. 2
Robert E. Smith,Wyoming Pharmacist Association
Dennis P. Smyth,Wyoming Public Employees Assn.
Pamela C. Snell,Community First Natl. Bank
Ron Sniffin,Wyoming Education Association
Tim T. Solon,Wyoming Church Coalition
Ruth C. Sommers,Regional Services Providers of WY
Donna Spate,W.E.A.
Janice A. Stalcup,LCSD#1
Glenda F. Stark,WY Pet. Marketers
John A. Steil,Prof. Land Surveyors of Wyoming
Dan D. Stephan,L.C.S. Dist #1
Dustin A. Stetter,Wyoming Outfitter & Guide Assn.
Mark R. Stewart,Wyoming Bankers Assn.
Duane Stolins,Wyo Fire Chiefs
Thomas B. Stolz,First Interstate Bank
Mike R. Stufflebean,United Transportation Union
Dan B. Sullivan,"Address, City, State, Zip"
John A. Sundahl,"Address, City, State, Zip"
DeAnn L. Sutton,Teton County
Kenneth B. Sutton,Wyoming Fire Chief Assn.
Rodney G. Svee,Sheridan County School Dist. No. 1
Nina Svoboda,Self
Conilee Swantek,Platte County SD #2
David L. Swantek,Northeast Wyoming BOCES
Kevin R. Sweeney,Small Schools Coalition
Robert J. Symons,Wyoming Fire Chief�۪s Assn.
Linda S. Tangeman,Wyoming State Bar
Bob M. Tarantola,Pacific Power
Donald Brent Taylor,Wyoming Trucking Association
Robert L. Taylor,Wyoming Fire Chiefs Assn.
Douglas E. Thierwechter,Marathon Oil Company
Barbara B. Thirstrup,Black Hills Corporation
Deborah K. Thomas,Independent
Jeffery D. Thomas,
Sandi Thomas,Wyeth-Ayerst Laboratories
Stephen D. Thomas,WY Wildlife Federation
William J. Thomson,AFLAC
Timothy Erik Thorson,Riverton Chamber of Commerce
Mary A. Throne,KN Energy
Tom H. Throop,Equality State Policy Center
Ronald Tolman,Lincoln Co. School Dist. #2
John G. Trokimoinen,Wyo. Education Assn.
Leo A. Tsimbinos,Independent
Julie A. Tucker,Wyoming Education Assn.
Kenneth S. Tuma,United Transportation Union
Roy A. Turner,"Address, City, State, Zip"
David D. Uchner,American Insurance Assoc.
Robert A. Ugland,Petroleum Association of Wyoming
David R. Ulane,Wyoming Airport Operators Assn.
Paul Ulrich,Wy Lodging & Resturant Assoc.
Terry L. Ungricht,United Transportation Union
Laurie Urbigkit,"Address, City, State, Zip"
Kathryn A. Valido,Cheyenne Teachers Ed. Assn.
Nancy L. Vandenberg,Coastal States Management Corp.
Philip R. Vanderpoel,"ABATE of Wyoming, Inc."
Phillip F. Van Horn,Wyoming Student Loan Corporation
"Donald G. Van Matre, III",International Union of Police Assn.
Jon T. VanOverbeke,LCSD #1
Denis J. Van Patten,Natl. Assoc. of Ins & Fin. Advisors
Clayton W. Voss,W.Y.O.G.A.
Susie P. Wacker,Wyoming Medical Society
Michael W. Walden-Newman,Wyoming Taxpayers Association
Evelyn L. Wall,CTEA
Danny N. Walker,Wyoming Public Employee Assn.
Dick Wallis,Wy Horse Racing Inc.
Ray A. Wardell,Wyo All Breeds Racing Assn.
Charles E. Ware,Wyoming Contractors Association
Kay J. Watson,Fremont County School Dist. #24
Patrick U. Watts,Alliance of American Insurers
Russell G. Wenke,Wyoming Fire Chiefs
Edward S. Weppner,Wyoming Stock Growers Assn.
Lynne M. Whalen,Natrona County Medical Society
Sheridan County Dist. #2,District #2
Ronald D. Williams,N/A
Jim C. Wingert,Laramie Co. Fire Dist. #2
Loretta C. Wolf,American Cancer Society
Lawerence J. Wolfe,Dakota Minnesota & Eastern
Sara E. Wolff,Orphan Medical
Mark P. Young,Wyoming Fire Chiefs
Barbara J. Zanoni,Wyoming Dental Hygienists�۪ Assoc.
Elizabeth T. Zerga,"McLeod USA, Inc."
Scott E. Zimmerman,Rocky Mountain Farmers Union
